Sch#,May,June,July,Aug,Sept,Oct,Nov
1,63,63,63,63,63,56,56
2,63,63,63,63,63,57,56
3,63,63,63,63,63,58,56
4,63,63,63,63,63,59,56
5,63,63,63,63,63,60,56
6,63,63,63,63,63,60,57
7,63,63,63,63,63,60,58
8,63,63,64,63,63,60,58
9,63,63,64,64,63,60,58
10,63,63,64,64,64,60,58
11,63,64,64,64,64,60,58
12,64,64,64,64,64,60,58
13,64,64,65,64,64,60,58
14,64,64,65,65,64,60,58
15,64,64,65,65,65,60,58
16,64,65,65,65,65,60,58
17,65,65,65,65,65,60,58
18,65,65,65,65,65,61,58
19,65,65,65,65,65,62,58
20,65,65,65,65,65,63,58
21,65,65,65,65,65,64,58
22,65,65,65,65,65,65,58
23,65,65,65,65,65,65,59
24,65,65,66,65,65,65,59
25,65,65,66,66,65,65,59
26,65,65,66,66,66,65,59
27,65,66,66,66,66,65,59
28,66,66,66,66,66,65,59
29,66,66,67,66,66,65,59
30,66,66,67,67,66,65,59
31,66,66,67,67,67,65,59
32,66,67,67,67,67,65,59
33,67,67,67,67,67,65,59
34,67,67,68,67,67,65,59
35,67,67,68,68,67,65,59
36,67,67,68,68,68,65,59
37,67,68,68,68,68,65,59
38,68,68,68,68,68,65,59
39,68,68,68,68,68,66,59
40,68,68,68,68,68,67,59
41,68,68,68,68,68,68,59
42,68,68,69,68,68,68,59
43,68,68,69,69,68,68,59
44,68,68,69,69,69,68,59
45,68,69,69,69,69,68,59
46,69,69,69,69,69,68,59
47,69,69,69,69,69,69,59
48,69,69,69,69,69,69,60
49,69,69,70,69,69,69,60
50,69,69,70,70,69,69,60
51,69,69,70,70,70,69,60
52,69,70,70,70,70,69,60
53,70,70,70,70,70,69,60
54,70,70,70,70,70,70,60
55,70,70,70,70,70,70,61
56,70,70,71,70,70,70,61
57,70,70,71,71,70,70,61
58,70,70,71,71,71,70,61
59,70,71,71,71,71,70,61
60,71,71,71,71,71,70,61
61,71,71,71,71,71,71,61
62,71,71,71,71,71,71,62
63,71,71,72,71,71,71,62
64,71,71,72,72,71,71,62
65,71,71,72,72,72,71,62
66,71,72,72,72,72,71,62
67,72,72,72,72,72,71,62
68,72,72,72,72,72,72,62
69,72,72,72,72,72,72,63
70,72,72,72,72,72,72,64
71,72,72,72,72,72,72,65
72,72,72,72,72,72,72,66
73,72,72,72,72,72,72,67
74,72,72,72,72,72,72,68
75,72,72,72,72,72,72,69
76,72,72,72,72,72,72,70
77,72,72,72,72,72,72,71
78,72,72,72,72,72,72,72
79,73,73,73,73,73,73,73
80,74,74,74,74,74,74,74
81,75,75,75,75,75,75,75
82,76,76,76,76,76,76,76
83,77,77,77,77,77,77,77
84,78,78,78,78,78,78,78
85,79,79,79,79,79,79,79
86,80,80,80,80,80,80,80
