JDAY,Fl Wt Ave Temp,,Flow Weighted Average - Water Temperature below Folsom Reservoir (JDAY1 = 1/1/2000)
7,10.43,,
8,10.50,,
14,10.18,,
21,9.75,,
22,9.73,,
23,9.73,,
24,9.68,,
25,9.64,,
26,9.62,,
27,9.68,,
28,9.65,,
29,9.65,,
30,9.47,,
31,9.53,,
32,9.53,,
33,9.44,,
34,9.44,,
35,9.39,,
36,9.28,,
37,9.44,,
38,9.40,,
39,9.39,,
40,9.43,,
41,9.43,,
42,9.44,,
43,9.38,,
44,9.46,,
45,9.90,,
46,10.23,,
47,10.06,,
48,9.72,,
49,9.32,,
50,9.05,,
51,8.96,,
52,8.99,,
53,9.01,,
54,9.05,,
55,9.09,,
56,9.10,,
57,9.11,,
58,9.17,,
59,9.22,,
60,9.27,,
61,9.46,,
62,9.33,,
63,9.33,,
64,9.29,,
65,9.20,,
66,9.12,,
67,9.12,,
68,9.14,,
69,9.18,,
70,9.23,,
71,9.22,,
72,9.15,,
73,9.17,,
74,9.21,,
75,9.10,,
76,9.11,,
77,9.17,,
78,9.19,,
79,9.21,,
80,9.39,,
81,9.51,,
82,9.38,,
83,9.36,,
84,9.39,,
85,9.45,,
86,9.45,,
87,9.48,,
88,9.50,,
89,10.10,,
90,11.28,,
91,11.69,,
92,11.62,,
93,11.41,,
94,11.53,,
95,11.08,,
96,11.39,,
97,11.36,,
98,11.69,,
99,11.12,,
100,11.38,,
101,11.87,,
102,11.82,,
103,11.72,,
104,11.58,,
105,13.32,,
106,13.30,,
107,12.72,,
108,13.14,,
109,13.31,,
110,13.25,,
111,13.55,,
112,13.25,,
113,11.97,,
114,13.00,,
115,13.64,,
116,13.22,,
117,12.64,,
118,11.63,,
119,12.32,,
120,12.48,,
121,12.97,,
122,13.03,,
123,12.25,,
124,12.07,,
125,12.35,,
126,12.57,,
127,11.91,,
128,12.36,,
129,12.51,,
130,12.62,,
131,12.63,,
132,13.23,,
133,13.16,,
134,13.02,,
135,13.03,,
136,13.45,,
137,12.85,,
138,13.01,,
139,13.02,,
140,13.07,,
141,13.09,,
142,13.12,,
143,13.31,,
144,13.29,,
145,13.34,,
146,13.45,,
147,13.31,,
148,13.54,,
149,13.57,,
150,13.61,,
151,13.77,,
152,13.69,,
153,13.69,,
154,13.64,,
155,13.83,,
156,13.90,,
157,14.11,,
158,14.12,,
159,13.90,,
160,14.23,,
161,14.18,,
162,14.46,,
163,14.49,,
164,14.48,,
165,14.57,,
166,14.55,,
167,14.64,,
168,14.69,,
169,14.66,,
170,14.71,,
171,15.06,,
172,15.02,,
173,15.04,,
174,15.21,,
175,15.39,,
176,15.47,,
177,15.60,,
178,15.66,,
179,15.77,,
180,15.79,,
181,15.96,,
182,15.95,,
183,16.05,,
184,16.16,,
185,16.25,,
186,16.44,,
187,16.33,,
188,16.63,,
189,16.62,,
190,16.81,,
191,16.88,,
192,15.70,,
193,14.93,,
194,13.39,,
195,13.31,,
196,13.40,,
197,13.59,,
198,13.67,,
199,13.79,,
200,13.87,,
201,14.00,,
202,14.10,,
203,14.19,,
204,14.32,,
205,14.46,,
206,14.65,,
207,14.78,,
208,14.91,,
209,15.09,,
210,15.09,,
211,15.21,,
212,15.31,,
213,15.35,,
214,15.45,,
215,15.45,,
216,15.54,,
217,15.64,,
218,15.72,,
219,15.76,,
220,15.78,,
221,15.96,,
222,16.05,,
223,14.01,,
224,13.93,,
225,13.93,,
226,13.92,,
227,14.10,,
228,14.19,,
229,14.42,,
230,14.39,,
231,14.56,,
232,14.51,,
233,14.84,,
234,14.83,,
235,14.78,,
236,14.83,,
237,15.11,,
238,15.05,,
239,15.01,,
240,15.17,,
241,15.13,,
242,15.54,,
243,15.50,,
244,15.44,,
245,15.39,,
246,15.23,,
247,15.48,,
248,15.73,,
249,15.65,,
250,15.67,,
251,15.72,,
252,15.93,,
253,15.91,,
254,15.99,,
255,15.99,,
256,16.22,,
257,16.19,,
258,16.22,,
259,16.13,,
260,16.35,,
261,16.37,,
262,16.42,,
263,16.43,,
264,16.50,,
265,16.51,,
266,16.58,,
267,16.66,,
268,16.78,,
269,16.63,,
270,16.76,,
271,16.91,,
272,16.86,,
273,16.89,,
274,16.95,,
275,17.00,,
276,17.09,,
277,17.05,,
278,17.14,,
279,17.17,,
280,17.07,,
281,17.12,,
282,17.20,,
283,17.20,,
284,17.29,,
285,17.36,,
286,17.39,,
287,17.49,,
290,17.40,,
291,17.49,,
292,17.54,,
293,17.56,,
294,17.56,,
295,17.78,,
296,18.05,,
297,17.54,,
298,17.58,,
299,17.40,,
300,17.40,,
301,17.19,,
302,16.91,,
303,16.97,,
304,16.90,,
305,16.79,,
306,16.61,,
307,16.36,,
308,15.86,,
309,15.44,,
310,15.29,,
311,15.43,,
312,15.26,,
313,15.11,,
314,14.94,,
315,14.92,,
316,14.49,,
317,14.61,,
318,14.28,,
319,14.16,,
320,13.91,,
321,13.60,,
322,13.44,,
323,13.29,,
324,13.05,,
325,12.89,,
326,12.79,,
327,12.50,,
328,12.44,,
329,12.23,,
330,12.25,,
331,12.23,,
332,12.31,,
333,12.12,,
334,12.05,,
335,12.29,,
336,11.96,,
337,11.95,,
338,11.86,,
339,11.75,,
340,11.63,,
341,11.53,,
342,11.41,,
343,11.27,,
344,11.24,,
345,11.13,,
346,11.15,,
347,11.04,,
348,11.11,,
349,11.13,,
350,11.16,,
351,11.05,,
352,11.26,,
353,11.17,,
354,10.98,,
355,11.14,,
356,10.90,,
357,10.77,,
358,10.60,,
359,10.49,,
360,10.47,,
361,10.41,,
362,10.39,,
363,10.23,,
364,10.20,,
365,10.11,,
366,9.93,,
367,9.82,,
368,9.89,,
369,9.71,,
370,9.62,,
371,9.80,,
372,9.62,,
373,9.48,,
374,9.48,,
375,9.33,,
376,9.34,,
377,9.45,,
378,9.46,,
