Folsom Temperature Profiles (2001-2021) - All Sites,,,
JDAY,Depth,Temp,Seg
473.54,0.27,15.94,63
473.54,0.27,15.89,63
473.55,1.58,15.56,63
473.55,3.05,15.22,63
473.55,5.03,14,63
473.55,6.43,13.67,63
473.55,8.38,13.39,63
473.55,9.78,12.94,63
473.55,11,12.17,63
473.55,12.47,11.61,63
473.55,14.39,10.72,63
473.55,15.33,10.39,63
473.55,17.07,10.28,63
473.55,18.26,9.89,63
473.55,20.76,9.56,63
473.55,21.7,9.5,63
473.55,23.04,9.33,63
473.55,24.41,9.22,63
473.55,26.4,9.17,63
473.55,27.43,9.11,63
473.55,29.14,9.11,63
473.55,31.55,9.06,63
473.55,32.67,9,63
473.55,33.53,9,63
473.55,35.84,8.89,63
473.55,36.61,8.89,63
473.56,40.78,8.83,63
486.5,0.3,19.78,63
486.5,1.55,18.78,63
486.5,3.17,17.5,63
486.5,4.6,15.67,63
486.5,4.54,16.22,63
486.5,6.07,14.39,63
486.5,6.1,14.33,63
486.5,7.65,13.94,63
486.5,7.86,13.89,63
486.5,9.2,13.61,63
486.5,10.67,13.22,63
486.5,12.22,12.67,63
486.5,13.78,12.39,63
486.5,15.42,12.06,63
486.5,17.53,11.83,63
486.51,18.32,11.61,63
486.51,19.84,11.06,63
486.51,21.37,10.67,63
486.51,22.92,10.5,63
486.51,24.41,10.06,63
486.51,26,9.83,63
486.51,27.52,9.72,63
486.51,28.93,9.5,63
486.51,30.6,9.5,63
486.51,32.06,9.39,63
486.51,33.68,9.33,63
486.51,34.99,9.22,63
486.51,36.64,9.22,63
486.51,38.13,9.17,63
486.51,39.62,9.17,63
486.51,41.27,9.17,63
486.51,42.46,9.11,63
501.56,0.7,21.39,63
501.56,1.7,21.33,63
501.56,2.9,21.28,63
501.56,3.1,21.28,63
501.56,4.4,21.22,63
501.56,6.6,21.06,63
501.56,7.5,18.5,63
501.56,9.1,17.22,63
501.56,10.2,16.61,63
501.56,10.8,15.56,63
501.56,12.1,14.67,63
501.56,13.7,13.94,63
501.56,14.3,14.11,63
501.56,15.3,13.89,63
501.56,16.7,13,63
501.57,18.4,12.5,63
501.57,20.2,11.72,63
501.57,21.1,11.28,63
501.57,22.2,11.33,63
501.57,22.9,10.89,63
501.57,24.5,10.61,63
501.57,25.9,10.28,63
501.57,27.6,10.11,63
501.57,28.9,9.94,63
501.57,30.5,9.78,63
501.57,32,9.78,63
501.57,33.4,9.67,63
501.57,33.5,9.61,63
501.57,36.5,9.56,63
501.57,39.3,9.5,63
501.57,39.6,9.5,63
501.57,41.2,9.44,63
501.57,42.5,9.44,63
501.57,43.8,9.33,63
