JDAY,Intercept,Air Temp (A),Water Temp (B),LogFlow (C),,,,,Table 2 - Coefficients used for Final Regression without Solar,,,,
1,1.742667488,0.021320627,0.915301489,-0.420886457,,,,,Month,Const,A,B,C
2,1.75581015,0.020808059,0.916882859,-0.433616701,,,,1,,1.742667488,0.021320627,0.915301489,-0.420886457
3,1.768952813,0.020295492,0.918464229,-0.446346945,,,,16.5,Jan,1.946378758,0.013375836,0.93981272,-0.618205236
4,1.782095476,0.019782925,0.920045598,-0.459077189,,,,46,Feb,3.06584481,0.06344339,0.805478676,-0.825889537
5,1.795238138,0.019270358,0.921626968,-0.471807432,,,,75.5,Mar,4.840201945,0.030403094,0.840832742,-1.530553652
6,1.808380801,0.018757791,0.923208338,-0.484537676,,,,106,Apr,8.049595683,0.049018295,0.60822924,-1.782128308
7,1.821523463,0.018245224,0.924789708,-0.49726792,,,,136.5,May,7.500799095,0.035639445,0.83867899,-2.490257345
8,1.834666126,0.017732656,0.926371077,-0.509998164,,,,167,Jun,9.253058133,0.025695687,0.796822475,-2.912936501
9,1.847808789,0.017220089,0.927952447,-0.522728407,,,,197.5,Jul,7.075955433,-0.015634303,0.885474387,-1.922854697
10,1.860951451,0.016707522,0.929533817,-0.535458651,,,,228.5,Aug,9.124569285,0.031555822,0.768244793,-2.658286723
11,1.874094114,0.016194955,0.931115187,-0.548188895,,,,259,Sep,9.766176345,0.084466248,0.694684248,-3.273160018
12,1.887236776,0.015682388,0.932696557,-0.560919139,,,,289.5,Oct,9.757233673,0.059540567,0.598376085,-2.166315306
13,1.900379439,0.015169821,0.934277926,-0.573649383,,,,320,Nov,8.166191567,0.190146509,0.511084103,-1.814512003
14,1.913522102,0.014657254,0.935859296,-0.586379626,,,,350.5,Dec,1.538956217,0.029265418,0.890790258,-0.223567678
15,1.926664764,0.014144686,0.937440666,-0.59910987,,,,366,,1.742667488,0.021320627,0.915301489,-0.420886457
16,1.939807427,0.013632119,0.939022036,-0.611840114,,,,,Predicted Temp = Const + A(Ave Air Temp) + B(Ave Water Temp below Folsom) + C(log(Ave Flow)),,,,
17,1.965352759,0.014224438,0.937535872,-0.621725309,,,,,,,,,
18,2.003300761,0.015921643,0.932982176,-0.628765455,,,,,,,,,
19,2.041248762,0.017618849,0.928428479,-0.6358056,,,,,,,,,
20,2.079196764,0.019316054,0.923874783,-0.642845746,,,,,,,,,
21,2.117144766,0.021013259,0.919321087,-0.649885892,,,,,,,,,
22,2.155092768,0.022710464,0.91476739,-0.656926038,,,,,,,,,
23,2.193040769,0.02440767,0.910213694,-0.663966184,,,,,,,,,
24,2.230988771,0.026104875,0.905659997,-0.671006329,,,,,,,,,
25,2.268936773,0.02780208,0.901106301,-0.678046475,,,,,,,,,
26,2.306884775,0.029499285,0.896552605,-0.685086621,,,,,,,,,
27,2.344832776,0.03119649,0.891998908,-0.692126767,,,,,,,,,
28,2.382780778,0.032893696,0.887445212,-0.699166912,,,,,,,,,
29,2.42072878,0.034590901,0.882891515,-0.706207058,,,,,,,,,
30,2.458676782,0.036288106,0.878337819,-0.713247204,,,,,,,,,
31,2.496624783,0.037985311,0.873784122,-0.72028735,,,,,,,,,
32,2.534572785,0.039682517,0.869230426,-0.727327496,,,,,,,,,
33,2.572520787,0.041379722,0.86467673,-0.734367641,,,,,,,,,
34,2.610468789,0.043076927,0.860123033,-0.741407787,,,,,,,,,
35,2.64841679,0.044774132,0.855569337,-0.748447933,,,,,,,,,
36,2.686364792,0.046471337,0.85101564,-0.755488079,,,,,,,,,
37,2.724312794,0.048168543,0.846461944,-0.762528225,,,,,,,,,
38,2.762260796,0.049865748,0.841908248,-0.76956837,,,,,,,,,
39,2.800208797,0.051562953,0.837354551,-0.776608516,,,,,,,,,
40,2.838156799,0.053260158,0.832800855,-0.783648662,,,,,,,,,
41,2.876104801,0.054957364,0.828247158,-0.790688808,,,,,,,,,
42,2.914052803,0.056654569,0.823693462,-0.797728953,,,,,,,,,
43,2.952000804,0.058351774,0.819139766,-0.804769099,,,,,,,,,
44,2.989948806,0.060048979,0.814586069,-0.811809245,,,,,,,,,
45,3.027896808,0.061746184,0.810032373,-0.818849391,,,,,,,,,
46,3.06584481,0.06344339,0.805478676,-0.825889537,,,,,,,,,
47,3.125992509,0.06232338,0.806677119,-0.849776456,,,,,,,,,
48,3.186140209,0.06120337,0.807875562,-0.873663375,,,,,,,,,
49,3.246287908,0.06008336,0.809074005,-0.897550294,,,,,,,,,
50,3.306435608,0.05896335,0.810272448,-0.921437213,,,,,,,,,
51,3.366583307,0.05784334,0.811470891,-0.945324132,,,,,,,,,
52,3.426731007,0.05672333,0.812669334,-0.969211052,,,,,,,,,
53,3.486878706,0.05560332,0.813867777,-0.993097971,,,,,,,,,
54,3.547026406,0.05448331,0.81506622,-1.01698489,,,,,,,,,
55,3.607174105,0.0533633,0.816264662,-1.040871809,,,,,,,,,
56,3.667321805,0.05224329,0.817463105,-1.064758728,,,,,,,,,
57,3.727469504,0.05112328,0.818661548,-1.088645647,,,,,,,,,
58,3.787617204,0.05000327,0.819859991,-1.112532567,,,,,,,,,
59,3.847764903,0.04888326,0.821058434,-1.136419486,,,,,,,,,
60,3.907912603,0.04776325,0.822256877,-1.160306405,,,,,,,,,
61,3.968060302,0.046643239,0.82345532,-1.184193324,,,,,,,,,
62,4.028208002,0.045523229,0.824653763,-1.208080243,,,,,,,,,
63,4.088355701,0.044403219,0.825852206,-1.231967163,,,,,,,,,
64,4.148503401,0.043283209,0.827050649,-1.255854082,,,,,,,,,
65,4.2086511,0.042163199,0.828249092,-1.279741001,,,,,,,,,
66,4.2687988,0.041043189,0.829447534,-1.30362792,,,,,,,,,
67,4.328946499,0.039923179,0.830645977,-1.327514839,,,,,,,,,
68,4.389094199,0.038803169,0.83184442,-1.351401758,,,,,,,,,
69,4.449241898,0.037683159,0.833042863,-1.375288678,,,,,,,,,
70,4.509389597,0.036563149,0.834241306,-1.399175597,,,,,,,,,
71,4.569537297,0.035443139,0.835439749,-1.423062516,,,,,,,,,
72,4.629684996,0.034323129,0.836638192,-1.446949435,,,,,,,,,
73,4.689832696,0.033203119,0.837836635,-1.470836354,,,,,,,,,
