Date      JDAY      TAIR      Flow      Flow2     Solar
01/01/2020         1      9.90     64.17   4117.27     84.00
01/02/2020         2      9.08     70.59   4983.50    108.00
01/03/2020         3      9.70     67.73   4587.88     98.00
01/04/2020         4      9.09     67.31   4530.52     71.00
01/05/2020         5      8.80     72.26   5222.17     86.00
01/06/2020         6      6.25     67.28   4526.71     78.00
01/07/2020         7      6.20     69.55   4836.67    107.00
01/08/2020         8      8.85     66.29   4394.33     74.00
01/09/2020         9      8.20     66.49   4420.65     64.00
01/10/2020        10      6.61     64.68   4182.94     87.00
01/11/2020        11      8.79     64.76   4193.94     67.00
01/12/2020        12      6.38     68.16   4645.60     79.00
01/13/2020        13      9.45     69.40   4817.00    100.00
01/14/2020        14      8.64     75.52   5703.43     89.00
01/15/2020        15      6.16     53.46   2858.21     83.00
01/16/2020        16      7.25     55.61   3092.95     15.00
01/17/2020        17      6.83     47.97   2301.00     94.00
01/18/2020        18      6.85     53.83   2897.70    108.00
01/19/2020        19      5.83     57.91   3353.33     38.00
01/20/2020        20      7.85     53.04   2812.97     64.00
01/21/2020        21     10.31     54.51   2971.33     35.00
01/22/2020        22     11.31     46.81   2190.97     48.00
01/23/2020        23     10.24     53.66   2879.44     66.00
01/24/2020        24     12.47     51.96   2699.99    115.00
01/25/2020        25     11.90     47.54   2260.43     88.00
01/26/2020        26     13.13     56.69   3213.79     77.00
01/27/2020        27     11.59     49.21   2422.08    116.00
01/28/2020        28     10.62     52.95   2803.97     61.00
01/29/2020        29     10.06     64.42   4150.04    124.00
01/30/2020        30     11.90     56.18   3156.26    132.00
01/31/2020        31     12.25     52.13   2717.67    139.00
02/01/2020        32     11.54     54.74   2996.08    143.00
02/02/2020        33      9.55     51.14   2615.32     83.00
02/03/2020        34      5.96     59.58   3549.62    161.00
02/04/2020        35      6.70     52.78   2786.00    151.00
02/05/2020        36      8.06     56.04   3140.37    142.00
02/06/2020        37      9.40     51.06   2606.64    157.00
02/07/2020        38     10.74     53.83   2897.70    159.00
02/08/2020        39     10.58     50.23   2523.46    158.00
02/09/2020        40     12.52     54.20   2937.47    169.00
02/10/2020        41     12.40     53.41   2852.16    171.00
02/11/2020        42     11.10     44.17   1951.37    170.00
02/12/2020        43     11.95     51.06   2606.64    168.00
02/13/2020        44     10.94     49.78   2478.15    169.00
02/14/2020        45      9.79     55.73   3105.56    163.00
02/15/2020        46     11.60     47.32   2238.94    144.00
02/16/2020        47     12.68     55.33   3061.53    166.00
