Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
105,  1,       25995.07,   239230.27335,  4288379.72430, 11,    63.100
104,  1,       25743.91,   239450.31569,  4288500.16160, 11,    63.100
103,  1,       25492.75,   239676.92639,  4288608.45454, 11,    64.320
102,  1,       25241.59,   239883.17190,  4288746.78538, 11,    64.930
101,  1,       24990.43,   240040.40652,  4288939.24734, 11,    64.930
100,  1,       24739.27,   240124.97890,  4289170.93440, 11,    64.930
 99,  1,       24488.11,   240103.91451,  4289413.58417, 11,    66.760
 98,  1,       24236.95,   240024.15291,  4289651.72935, 11,    67.370
 97,  1,       23985.79,   239972.52782,  4289896.11282, 11,    67.370
 96,  1,       23734.63,   239912.64135,  4290137.49762, 11,    67.980
 95,  1,       23483.47,   239821.07719,  4290371.35878, 11,    67.980
 94,  1,       23232.31,   239778.97589,  4290614.30209, 11,    69.200
 93,  1,       22981.15,   239817.39721,  4290860.19324, 11,    69.200
 92,  1,       22729.99,   239938.90728,  4291072.41500, 11,    70.420
 91,  1,       22478.83,   240130.17941,  4291232.15165, 11,    70.420
 90,  1,       22227.67,   240349.95753,  4291352.44434, 11,    70.420
 89,  1,       21976.51,   240556.73315,  4291489.63676, 11,    71.030
 88,  1,       21725.35,   240741.21986,  4291660.06100, 11,    71.640
 87,  1,       21474.19,   240899.74352,  4291852.13264, 11,    71.640
 86,  1,       21223.03,   241003.56131,  4292078.50210, 11,    72.250
 85,  1,       20971.87,   241097.54620,  4292310.43640, 11,    72.250
 84,  1,       20720.71,   241216.81787,  4292531.38029, 11,    73.470
 83,  1,       20469.55,   241307.84550,  4292762.63405, 11,    74.690
 82,  1,       20218.39,   241421.15199,  4292977.64396, 11,    75.300
 81,  1,       19967.23,   241610.12293,  4293140.33173, 11,    75.910
 80,  1,       19716.07,   241788.40160,  4293311.75472, 11,    76.520
 79,  1,       19464.91,   241884.86893,  4293536.77791, 11,    77.130
 78,  1,       19213.75,   241904.44014,  4293785.87525, 11,    77.740
 77,  1,       18962.59,   241876.18801,  4294034.41817, 11,    78.350
 76,  1,       18711.43,   241891.54052,  4294276.21883, 11,    78.960
 75,  1,       18460.27,   241960.86326,  4294517.29586, 11,    78.960
 74,  1,       18209.11,   242002.02976,  4294764.52151, 11,    79.570
 73,  1,       17957.95,   242022.09712,  4295014.82816, 11,    79.570
 72,  1,       17706.79,   242070.32073,  4295258.98619, 11,    80.180
 71,  1,       17455.63,   242217.35920,  4295444.58126, 11,    81.400
 70,  1,       17204.47,   242442.87783,  4295550.97051, 11,    83.230
 69,  1,       16953.31,   242664.20004,  4295663.61646, 11,    85.060
 68,  1,       16702.15,   242842.34807,  4295836.63643, 11,    86.280
 67,  1,       16450.99,   242956.65664,  4296056.20269, 11,    87.500
 66,  1,       16199.83,   243027.25008,  4296297.15599, 11,    87.500
 65,  1,       15948.67,   243106.11445,  4296535.13696, 11,    88.110
 64,  1,       15697.51,   243231.65847,  4296749.40625, 11,    88.720
 63,  1,       15446.35,   243387.61752,  4296946.26105, 11,    89.330
 62,  1,       15195.19,   243480.89219,  4297169.98862, 11,    89.330
 61,  1,       14944.03,   243449.05784,  4297410.50637, 11,    89.330
 60,  1,       14692.87,   243359.87246,  4297645.17755, 11,    89.940
 59,  1,       14441.71,   243360.68021,  4297882.24245, 11,    89.940
 58,  1,       14190.55,   243408.83590,  4298126.05664, 11,    89.940
 57,  1,       13939.39,   243473.10251,  4298362.86852, 11,    91.770
 56,  1,       13688.23,   243621.17832,  4298561.74978, 11,    94.210
 55,  1,       13437.07,   243744.76004,  4298770.27256, 11,    97.260
 54,  1,       13185.91,   243824.83637,  4299007.92461, 11,   100.310
 53,  1,       12934.75,   243900.04598,  4299246.81935, 11,   102.750
 52,  1,       12683.58,   243870.33068,  4299480.29593, 11,   105.190
 51,  1,       12432.42,   243807.81931,  4299717.01034, 11,   105.190
 50,  1,       12181.26,   243760.21599,  4299960.34986, 11,   105.190
 49,  1,       11930.10,   243616.62586,  4300153.93879, 11,   107.020
 48,  1,       11678.94,   243403.26406,  4300284.05173, 11,   107.630
 47,  1,       11427.78,   243236.20463,  4300451.85215, 11,   105.800
 46,  1,       11176.62,   243261.31736,  4300662.94750, 11,   105.800
 45,  1,       10925.46,   243465.80165,  4300764.46188, 11,   107.630
 44,  1,       10674.30,   243715.10872,  4300747.18134, 11,   107.630
 43,  1,       10423.14,   243942.59742,  4300655.20875, 11,   109.460
 42,  1,       10171.98,   244136.52433,  4300497.03468, 11,   108.850
 41,  1,        9920.82,   244352.17717,  4300403.50936, 11,   108.850
 40,  1,        9669.66,   244600.66204,  4300422.37976, 11,   109.460
 39,  1,        9418.50,   244840.76437,  4300492.93154, 11,   110.680
 38,  1,        9167.34,   245064.81757,  4300604.16072, 11,   110.680
