 JDAY =    5860.49805042540     
QIN:,80.706779,47.933904,.000000,
QTR:,.070000,.000000,.000000,
QDT:,.000000,.000000,.000000,
QWD:,.000000,

SEG,BRANCH,KT,WSE,SZ,Z,Q,QC,QERR,H2KT,H1KT,BHR1,BHR2,T1,T2,SUKT,UKT
1,1,62,128.090000,-.330000,-.330000,.000000,.000000,.000000,.610000,.610000,9.150000,9.150000,.000000,.000000,.000000,.000000
2,1,62,128.090000,-.330000,-.330000,.000000,.000000,.000000,.610000,.610000,9.150000,9.150000,.000000,.000000,.000000,.000000
3,1,62,128.090000,-.330000,-.330000,.000000,.000000,.000000,.610000,.610000,9.150000,9.150000,.000000,.000000,.000000,.000000
4,1,62,128.090000,.000000,.000000,87.007298,87.007298,.000000,.610000,.610000,9.150000,9.150000,.000000,.000000,.000000,.000000
5,1,62,143.475864,.000000,.000000,51.183911,51.183911,-20.255266,.610000,.610000,9.150000,9.150000,.000000,.000000,.000000,.000000
6,1,62,141.683354,.000000,.000000,32.321692,32.321692,-106.962243,.610000,.610000,9.150000,9.150000,.000000,.000000,.000000,.000000
7,1,62,141.035664,.000000,.000000,27.196447,27.196447,-182.376221,.610000,.610000,9.150000,9.150000,.000000,.000000,.000000,.000000
8,1,62,140.369683,.000000,.000000,16.103004,16.103004,-3549.487403,.610000,.610000,18.038005,18.038005,.000000,.000000,.000000,.000000
9,1,62,137.665726,.000000,.000000,18.475014,18.475014,406.220917,.610000,.610000,22.918310,22.918310,.000000,.000000,.000000,.000000
10,1,62,136.012244,.000000,.000000,15.779698,15.779698,149.547074,.610000,.610000,15.555305,15.555305,.000000,.000000,.000000,.000000
11,1,62,134.422739,.000000,.000000,14.631611,14.631611,267.185231,.610000,.610000,11.981925,11.981925,.000000,.000000,.000000,.000000
12,1,62,132.956449,.000000,.000000,13.311056,13.311056,-5.924896,.610000,.610000,11.981925,11.981925,.000000,.000000,.000000,.000000
13,1,62,132.440598,.000000,.000000,13.174279,13.174279,-53389.522114,.610000,.610000,10.675000,10.675000,.000000,.000000,.000000,.000000
14,1,62,130.021001,.000000,.000000,11.452831,11.452831,-3.908560,.610000,.610000,9.150000,9.150000,.000000,.000000,.000000,.000000
15,1,62,129.604457,.000000,.000000,11.460515,11.453147,.064284,.610000,.610000,9.150000,9.150000,.000000,.000000,.000000,.000000
16,1,62,129.487347,.000000,.000000,11.443388,11.452979,-.083815,.610000,.610000,9.150000,9.150000,.000000,.000000,.000000,.000000
17,1,62,129.394151,.000000,.000000,11.992094,11.992094,-2.734563,.610000,.610000,9.150000,9.150000,.000000,.000000,.000000,.000000
18,1,62,128.688640,.000000,.000000,7.999896,7.999896,4.613480,.610000,.610000,10.675000,10.675000,.000000,.000000,.000000,.000000
19,1,62,127.817922,.000000,.000000,10.720220,10.720220,-1957.772822,.610000,.610000,12.200000,12.200000,.000000,.000000,.000000,.000000
20,1,62,126.236120,.000000,.000000,14.412189,14.412189,96.600574,.610000,.610000,12.200000,12.200000,.000000,.000000,.000000,.000000
21,1,62,125.622296,.000000,.000000,2.452168,3.472890,-41.625310,.610000,.610000,10.675000,10.675000,.000000,.000000,.000000,.000000
