Date,          JDAY,  AveFol, AveHazel,AveWatt,AveRMTemp( 1.0 ),AveFlowCMS
01/01/2020,       1,   49.95,   50.57,   50.31,   50.06,   2266.14
01/02/2020,       2,   49.95,   50.51,   50.14,   49.92,   2492.86
01/03/2020,       3,   49.93,   50.53,   50.24,   50.01,   2391.86
01/04/2020,       4,   49.82,   50.42,   50.07,   49.85,   2377.03
01/05/2020,       5,   50.44,   50.95,   49.99,   50.31,   2551.84
01/06/2020,       6,   50.75,   51.18,   49.26,   50.27,   2375.97
01/07/2020,       7,   50.34,   50.80,   49.69,   49.94,   2456.14
01/08/2020,       8,   50.00,   50.59,   50.49,   50.00,   2341.01
01/09/2020,       9,   49.63,   50.22,   50.03,   49.62,   2348.07
01/10/2020,      10,   49.12,   49.72,   49.41,   49.03,   2284.15
01/11/2020,      11,   48.96,   49.64,   49.60,   49.16,   2286.98
01/12/2020,      12,   49.66,   50.20,   48.69,   49.46,   2407.05
01/13/2020,      13,   49.29,   49.93,   49.22,   49.49,   2450.84
01/14/2020,      14,   49.39,   49.96,   49.53,   49.46,   2666.96
01/15/2020,      15,   49.09,   49.78,   49.01,   49.10,   1887.92
01/16/2020,      16,   49.20,   49.89,   48.95,   49.30,   1963.85
01/17/2020,      17,   49.80,   50.52,   48.96,   49.85,   1694.04
01/18/2020,      18,   49.83,   50.48,   48.76,   49.87,   1900.99
01/19/2020,      19,   49.53,   50.12,   49.07,   49.52,   2045.07
01/20/2020,      20,   49.54,   50.23,   49.56,   49.84,   1873.09
01/21/2020,      21,   49.58,   50.33,   50.17,   50.21,   1925.00
01/22/2020,      22,   49.58,   50.45,   50.28,   50.47,   1653.08
01/23/2020,      23,   48.97,   49.78,   50.04,   49.83,   1894.98
01/24/2020,      24,   49.06,   49.98,   50.67,   50.28,   1834.95
01/25/2020,      25,   49.05,   50.00,   50.62,   50.32,   1678.86
01/26/2020,      26,   48.52,   49.50,   50.47,   50.04,   2001.99
01/27/2020,      27,   48.44,   49.43,   50.25,   49.89,   1737.83
01/28/2020,      28,   48.58,   49.46,   50.01,   49.88,   1869.91
01/29/2020,      29,   48.53,   49.27,   49.33,   49.69,   2274.97
01/30/2020,      30,   48.43,   49.39,   49.97,   50.06,   1983.98
01/31/2020,      31,   48.83,   49.81,   50.26,   50.56,   1840.95
02/01/2020,      32,   49.18,   50.05,   50.04,   50.76,   1933.12
02/02/2020,      33,   49.14,   49.91,   49.48,   50.48,   1805.99
02/03/2020,      34,   49.45,   49.80,   48.90,   50.02,   2104.05
02/04/2020,      35,   49.29,   49.78,   49.24,   50.15,   1863.91
02/05/2020,      36,   48.84,   49.46,   49.61,   50.05,   1979.03
02/06/2020,      37,   49.41,   50.11,   50.38,   50.90,   1803.17
02/07/2020,      38,   49.07,   49.91,   50.69,   50.92,   1900.99
02/08/2020,      39,   49.14,   50.00,   50.40,   51.06,   1773.86
02/09/2020,      40,   49.12,   50.12,   51.46,   51.46,   1914.05
02/10/2020,      41,   48.88,   49.92,   51.24,   51.32,   1886.16
02/11/2020,      42,   48.92,   49.95,   51.09,   51.28,   1559.85
02/12/2020,      43,   48.18,   49.35,   51.28,   50.83,   1803.17
02/13/2020,      44,   47.65,   48.83,   50.81,   50.25,   1757.96
02/14/2020,      45,   48.12,   49.02,   48.12,   50.33,   1968.09
02/15/2020,      46,   49.42,   50.38,   49.42,   52.02,   1671.09
02/16/2020,      47,   49.42,   50.43,   49.42,   52.24,   1953.96
02/17/2020,      48,   49.06,   50.24,   49.06,   52.08,   1708.88
02/18/2020,      49,   48.84,   49.84,   48.84,   51.48,   1791.16
02/19/2020,      50,   48.47,   49.66,   48.47,   51.43,   1761.85
02/20/2020,      51,   48.23,   49.63,   48.23,   51.61,   1719.82
02/21/2020,      52,   48.76,   50.14,   52.01,   52.28,   1852.96
02/22/2020,      53,   48.61,   50.13,   52.02,   52.40,   1798.93
02/23/2020,      54,   49.04,   50.20,   50.91,   52.20,   1963.14
02/24/2020,      55,   49.20,   50.36,   51.61,   52.59,   2362.90
02/25/2020,      56,   48.92,   50.37,   52.15,   52.78,   1981.15
02/26/2020,      57,   48.81,   50.43,   53.25,   53.10,   2102.99
02/27/2020,      58,   48.68,   50.33,   48.68,   52.94,   1880.15
02/28/2020,      59,   48.63,   50.36,   48.63,   53.18,   2118.88
02/29/2020,      60,   48.70,   50.20,   48.70,   52.73,   2087.10
03/01/2020,      61,   49.00,   50.35,   49.00,   52.70,   1994.93
03/02/2020,      62,   49.03,   50.71,   49.03,   53.55,   1949.02
03/03/2020,      63,   48.90,   50.57,   53.18,   53.47,   2110.05
03/04/2020,      64,   48.99,   50.74,   53.55,   53.80,   2083.92
03/05/2020,      65,   49.22,   50.94,   53.36,   53.94,   1945.13
03/06/2020,      66,   49.42,   50.74,   52.14,   53.40,   2308.17
03/07/2020,      67,   49.30,   50.72,   51.93,   53.27,   1961.02
03/08/2020,      68,   49.31,   50.96,   52.67,   53.68,   1698.99
03/09/2020,      69,   49.19,   50.73,   52.94,   53.65,   2252.02
03/10/2020,      70,   49.42,   51.18,   53.73,   54.38,   2010.11
03/11/2020,      71,   49.02,   51.12,   54.35,   54.51,   1654.85
03/12/2020,      72,   49.12,   51.30,   54.69,   54.89,   1664.03
03/13/2020,      73,   49.22,   51.03,   53.70,   54.27,   2000.93
03/14/2020,      74,   49.55,   51.49,   53.21,   54.46,   1441.90
03/15/2020,      75,   49.42,   51.06,   52.16,   53.87,   1867.09
03/16/2020,      76,   49.37,   51.26,   51.99,   53.90,   1386.10
03/17/2020,      77,   49.83,   51.79,   52.79,   54.71,   1414.00
03/18/2020,      78,   49.57,   51.62,   53.20,   54.57,   1432.01
03/19/2020,      79,   49.90,   51.89,   53.19,   54.94,   1528.07
03/20/2020,      80,   52.88,   54.53,   53.94,   57.88,   1434.83
03/21/2020,      81,   51.89,   53.95,   54.75,   57.36,   1238.13
03/22/2020,      82,   51.14,   53.03,   54.75,   56.57,   1868.85
03/23/2020,      83,   50.76,   52.91,   57.38,   56.34,   1525.95
03/24/2020,      84,   50.61,   52.57,   55.78,   55.80,   1737.13
03/25/2020,      85,   50.61,   52.64,   54.83,   55.73,   1534.07
03/26/2020,      86,   50.67,   52.72,   54.71,   55.75,   1470.86
03/27/2020,      87,   50.50,   52.61,   54.46,   55.75,   1588.10
03/28/2020,      88,   51.30,   53.22,   54.67,   56.48,   1711.00
03/29/2020,      89,   50.89,   53.25,   55.61,   56.77,   1513.94
03/30/2020,      90,   52.76,   54.69,   55.70,   58.34,   1527.01
03/31/2020,      91,   54.16,   55.73,   56.58,   59.49,   1608.94
04/01/2020,      92,   53.29,   54.95,   55.61,   58.49,   1618.12
04/02/2020,      93,   52.70,   54.53,   56.90,   57.95,   1535.83
04/03/2020,      94,   52.33,   54.28,   58.20,   57.78,   1626.95
04/04/2020,      95,   52.16,   54.12,   57.05,   57.45,   1510.06
04/05/2020,      96,   52.57,   54.78,   58.36,   58.24,   1169.97
04/06/2020,      97,   52.28,   54.36,   56.63,   57.67,   1321.12
04/07/2020,      98,   52.68,   54.74,   56.95,   58.38,   1533.01
04/08/2020,      99,   52.32,   54.84,   57.48,   58.57,   1215.88
04/09/2020,     100,   52.98,   55.15,   57.67,   58.92,   1415.06
04/10/2020,     101,   52.79,   54.99,   57.95,   58.89,   1646.02
04/11/2020,     102,   53.03,   55.10,   57.34,   58.88,   1564.09
04/12/2020,     103,   52.88,   55.24,   57.92,   59.19,   1470.86
04/13/2020,     104,   53.14,   55.34,   58.25,   59.34,   1652.02
04/14/2020,     105,   57.17,   58.26,   59.29,   62.63,   1408.00
04/15/2020,     106,   56.53,   57.53,   58.63,   61.71,   1662.97
04/16/2020,     107,   54.95,   56.67,   59.01,   60.90,   1678.86
04/17/2020,     108,   54.83,   56.75,   58.73,   60.79,   1256.14
04/18/2020,     109,   56.10,   57.31,   60.75,   61.32,   1593.04
04/19/2020,     110,   56.34,   57.64,   59.87,   61.73,   1495.93
04/20/2020,     111,   57.05,   58.06,   59.57,   62.11,   1565.85
04/21/2020,     112,   56.53,   57.78,   60.80,   62.00,   1763.97
04/22/2020,     113,   55.34,   57.48,   62.05,   62.01,   1525.95
04/23/2020,     114,   56.85,   58.75,   63.24,   63.57,   1528.07
04/24/2020,     115,   58.01,   59.86,   63.83,   64.87,   1345.14
04/25/2020,     116,   57.06,   59.46,   63.90,   64.61,   1258.97
04/26/2020,     117,   57.41,   59.52,   62.38,   64.47,   1339.13
