Date,          JDAY,  AveFol, AveWatt,AveHazel,AveRMTemp( 1.0 ),AveFlowCMS, Miles @60, Miles @65, Miles @68, Miles @70, Miles @75
01/01/2020,       1,    9.97,   10.17,   10.32,   10.03,     64.17,    0.00,    0.00,    0.00,    0.00,    0.00, 0
01/02/2020,       2,    9.97,   10.08,   10.28,    9.96,     70.59,    0.00,    0.00,    0.00,    0.00,    0.00, 0
01/03/2020,       3,    9.96,   10.13,   10.30,   10.00,     67.73,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/04/2020,       4,    9.90,   10.04,   10.23,    9.92,     67.31,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/05/2020,       5,   10.24,    9.99,   10.53,   10.17,     72.26,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/06/2020,       6,   10.41,    9.59,   10.65,   10.15,     67.28,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/07/2020,       7,   10.19,    9.83,   10.44,    9.97,     69.55,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/08/2020,       8,   10.00,   10.27,   10.33,   10.00,     66.29,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/09/2020,       9,    9.79,   10.02,   10.12,    9.79,     66.49,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/10/2020,      10,    9.51,    9.67,    9.84,    9.46,     64.68,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/11/2020,      11,    9.42,    9.78,    9.80,    9.54,     64.76,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/12/2020,      12,    9.81,    9.27,   10.11,    9.70,     68.16,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/13/2020,      13,    9.60,    9.57,    9.96,    9.72,     69.40,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/14/2020,      14,    9.66,    9.74,    9.98,    9.70,     75.52,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/15/2020,      15,    9.49,    9.45,    9.88,    9.50,     53.46,    0.00,    0.00,    0.00,    0.00,    0.00, 3
01/16/2020,      16,    9.55,    9.42,    9.94,    9.61,     55.61,    0.00,    0.00,    0.00,    0.00,    0.00, 3
01/17/2020,      17,    9.89,    9.42,   10.29,    9.92,     47.97,    0.00,    0.00,    0.00,    0.00,    0.00, 3
01/18/2020,      18,    9.90,    9.31,   10.26,    9.93,     53.83,    0.00,    0.00,    0.00,    0.00,    0.00, 3
01/19/2020,      19,    9.74,    9.48,   10.07,    9.73,     57.91,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/20/2020,      20,    9.75,    9.76,   10.13,    9.91,     53.04,    0.00,    0.00,    0.00,    0.00,    0.00, 3
01/21/2020,      21,    9.77,   10.09,   10.18,   10.12,     54.51,    0.00,    0.00,    0.00,    0.00,    0.00, 3
01/22/2020,      22,    9.77,   10.15,   10.25,   10.26,     46.81,    0.00,    0.00,    0.00,    0.00,    0.00, 3
01/23/2020,      23,    9.43,   10.02,    9.88,    9.91,     53.66,   99.00,   99.00,   99.00,   99.00,   99.00, 3
01/24/2020,      24,    9.48,   10.37,    9.99,   10.16,     51.96,   99.00,   99.00,   99.00,   99.00,   99.00, 3
01/25/2020,      25,    9.47,   10.35,   10.00,   10.18,     47.54,   99.00,   99.00,   99.00,   99.00,   99.00, 3
01/26/2020,      26,    9.18,   10.26,    9.72,   10.02,     56.69,   99.00,   99.00,   99.00,   99.00,   99.00, 3
01/27/2020,      27,    9.14,   10.14,    9.68,    9.94,     49.21,   99.00,   99.00,   99.00,   99.00,   99.00, 3
01/28/2020,      28,    9.21,   10.00,    9.70,    9.93,     52.95,   99.00,   99.00,   99.00,   99.00,   99.00, 3
01/29/2020,      29,    9.18,    9.63,    9.60,    9.83,     64.42,   99.00,   99.00,   99.00,   99.00,   99.00, 2
01/30/2020,      30,    9.13,    9.98,    9.66,   10.03,     56.18,   99.00,   99.00,   99.00,   99.00,   99.00, 3
01/31/2020,      31,    9.35,   10.15,    9.90,   10.31,     52.13,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/01/2020,      32,    9.55,   10.02,   10.03,   10.42,     54.74,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/02/2020,      33,    9.52,    9.71,    9.95,   10.27,     51.14,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/03/2020,      34,    9.69,    9.39,    9.89,   10.01,     59.58,   99.00,   99.00,   99.00,   99.00,   99.00, 2
02/04/2020,      35,    9.61,    9.58,    9.88,   10.08,     52.78,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/05/2020,      36,    9.35,    9.78,    9.70,   10.03,     56.04,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/06/2020,      37,    9.67,   10.21,   10.06,   10.50,     51.06,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/07/2020,      38,    9.49,   10.38,    9.95,   10.51,     53.83,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/08/2020,      39,    9.52,   10.22,   10.00,   10.59,     50.23,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/09/2020,      40,    9.51,   10.81,   10.07,   10.81,     54.20,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/10/2020,      41,    9.38,   10.69,    9.96,   10.74,     53.41,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/11/2020,      42,    9.40,   10.61,    9.97,   10.71,     44.17,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/12/2020,      43,    8.99,   10.71,    9.64,   10.46,     51.06,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/13/2020,      44,    8.69,   10.45,    9.35,   10.14,     49.78,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/14/2020,      45,    8.95,    8.95,    9.46,   10.18,     55.73,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/15/2020,      46,    9.68,    9.68,   10.21,   11.12,     47.32,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/16/2020,      47,    9.68,    9.68,   10.24,   11.24,     55.33,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/17/2020,      48,    9.48,    9.48,   10.13,   11.16,     48.39,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/18/2020,      49,    9.36,    9.36,    9.91,   10.82,     50.72,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/19/2020,      50,    9.15,    9.15,    9.81,   10.79,     49.89,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/20/2020,      51,    9.02,    9.02,    9.80,   10.90,     48.70,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/21/2020,      52,    9.31,   11.12,   10.08,   11.27,     52.47,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/22/2020,      53,    9.23,   11.12,   10.07,   11.33,     50.94,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/23/2020,      54,    9.47,   10.50,   10.11,   11.22,     55.59,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/24/2020,      55,    9.55,   10.89,   10.20,   11.44,     66.91,   99.00,   99.00,   99.00,   99.00,   99.00, 2
02/25/2020,      56,    9.40,   11.19,   10.21,   11.54,     56.10,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/26/2020,      57,    9.34,   11.80,   10.24,   11.72,     59.55,   99.00,   99.00,   99.00,   99.00,   99.00, 2
02/27/2020,      58,    9.27,    9.27,   10.19,   11.63,     53.24,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/28/2020,      59,    9.24,    9.24,   10.20,   11.77,     60.00,   99.00,   99.00,   99.00,   99.00,   99.00, 2
02/29/2020,      60,    9.28,    9.28,   10.11,   11.52,     59.10,   99.00,   99.00,   99.00,   99.00,   99.00, 2
03/01/2020,      61,    9.45,    9.45,   10.19,   11.50,     56.49,   99.00,   99.00,   99.00,   99.00,   99.00, 3
03/02/2020,      62,    9.46,    9.46,   10.39,   11.97,     55.19,   99.00,   99.00,   99.00,   99.00,   99.00, 3
03/03/2020,      63,    9.39,   11.77,   10.32,   11.93,     59.75,   99.00,   99.00,   99.00,   99.00,   99.00, 2
03/04/2020,      64,    9.44,   11.97,   10.41,   12.11,     59.01,   99.00,   99.00,   99.00,   99.00,   99.00, 2
03/05/2020,      65,    9.56,   11.87,   10.52,   12.19,     55.08,   99.00,   99.00,   99.00,   99.00,   99.00, 3
03/06/2020,      66,    9.68,   11.19,   10.41,   11.89,     65.36,   99.00,   99.00,   99.00,   99.00,   99.00, 2
03/07/2020,      67,    9.61,   11.07,   10.40,   11.82,     55.53,   99.00,   99.00,   99.00,   99.00,   99.00, 3
03/08/2020,      68,    9.62,   11.48,   10.53,   12.05,     48.11,   99.00,   99.00,   99.00,   99.00,   99.00, 3
03/09/2020,      69,    9.55,   11.63,   10.40,   12.03,     63.77,   99.00,   99.00,   99.00,   99.00,   99.00, 2
03/10/2020,      70,    9.68,   12.07,   10.65,   12.44,     56.92,   99.00,   99.00,   99.00,   99.00,   99.00, 3
03/11/2020,      71,    9.45,   12.42,   10.62,   12.50,     46.86,   99.00,   99.00,   99.00,   99.00,   99.00, 3
03/12/2020,      72,    9.51,   12.60,   10.72,   12.72,     47.12,   99.00,   99.00,   99.00,   99.00,   99.00, 3
03/13/2020,      73,    9.57,   12.06,   10.57,   12.37,     56.66,   99.00,   99.00,   99.00,   99.00,   99.00, 3
03/14/2020,      74,    9.75,   11.79,   10.83,   12.48,     40.83,   99.00,   99.00,   99.00,   99.00,   99.00, 4
03/15/2020,      75,    9.68,   11.20,   10.59,   12.15,     52.87,   99.00,   99.00,   99.00,   99.00,   99.00, 3
03/16/2020,      76,    9.65,   11.11,   10.70,   12.17,     39.25,   99.00,   99.00,   99.00,   99.00,   99.00, 4
03/17/2020,      77,    9.90,   11.55,   10.99,   12.61,     40.04,   99.00,   99.00,   99.00,   99.00,   99.00, 4
03/18/2020,      78,    9.76,   11.78,   10.90,   12.54,     40.55,   99.00,   99.00,   99.00,   99.00,   99.00, 4
03/19/2020,      79,    9.94,   11.77,   11.05,   12.74,     43.27,   99.00,   99.00,   99.00,   99.00,   99.00, 3
03/20/2020,      80,   11.60,   12.19,   12.52,   14.38,     40.63,   99.00,   99.00,   99.00,   99.00,   99.00, 4
03/21/2020,      81,   11.05,   12.64,   12.20,   14.09,     35.06,   99.00,   99.00,   99.00,   99.00,   99.00, 4
03/22/2020,      82,   10.63,   12.64,   11.68,   13.65,     52.92,   99.00,   99.00,   99.00,   99.00,   99.00, 3
03/23/2020,      83,   10.42,   14.10,   11.62,   13.52,     43.21,   99.00,   99.00,   99.00,   99.00,   99.00, 3
03/24/2020,      84,   10.34,   13.21,   11.43,   13.22,     49.19,   99.00,   99.00,   99.00,   99.00,   99.00, 3
03/25/2020,      85,   10.34,   12.69,   11.47,   13.18,     43.44,   99.00,   99.00,   99.00,   99.00,   99.00, 3
03/26/2020,      86,   10.37,   12.62,   11.51,   13.19,     41.65,   99.00,   99.00,   99.00,   99.00,   99.00, 4
03/27/2020,      87,   10.28,   12.48,   11.45,   13.19,     44.97,   99.00,   99.00,   99.00,   99.00,   99.00, 3
03/28/2020,      88,   10.72,   12.59,   11.79,   13.60,     48.45,   99.00,   99.00,   99.00,   99.00,   99.00, 3
03/29/2020,      89,   10.50,   13.12,   11.81,   13.76,     42.87,   99.00,   99.00,   99.00,   99.00,   99.00, 3
03/30/2020,      90,   11.53,   13.17,   12.61,   14.63,     43.24,   99.00,   99.00,   99.00,   99.00,   99.00, 3
03/31/2020,      91,   12.31,   13.65,   13.18,   15.27,     45.56,   99.00,   99.00,   99.00,   99.00,   99.00, 3
04/01/2020,      92,   11.83,   13.12,   12.75,   14.71,     45.82,   99.00,   99.00,   99.00,   99.00,   99.00, 3
04/02/2020,      93,   11.50,   13.83,   12.51,   14.41,     43.49,   99.00,   99.00,   99.00,   99.00,   99.00, 3
04/03/2020,      94,   11.29,   14.56,   12.38,   14.32,     46.07,   99.00,   99.00,   99.00,   99.00,   99.00, 3
04/04/2020,      95,   11.20,   13.92,   12.29,   14.14,     42.76,   99.00,   99.00,   99.00,   99.00,   99.00, 3
04/05/2020,      96,   11.43,   14.65,   12.65,   14.58,     33.13,   99.00,   99.00,   99.00,   99.00,   99.00, 5
04/06/2020,      97,   11.27,   13.68,   12.42,   14.26,     37.41,   99.00,   99.00,   99.00,   99.00,   99.00, 4
04/07/2020,      98,   11.49,   13.86,   12.63,   14.66,     43.41,   99.00,   99.00,   99.00,   99.00,   99.00, 3
04/08/2020,      99,   11.29,   14.16,   12.69,   14.76,     34.43,   99.00,   99.00,   99.00,   99.00,   99.00, 4
04/09/2020,     100,   11.65,   14.26,   12.86,   14.95,     40.07,   99.00,   99.00,   99.00,   99.00,   99.00, 4
04/10/2020,     101,   11.55,   14.42,   12.77,   14.94,     46.61,   99.00,   99.00,   99.00,   99.00,   99.00, 3
04/11/2020,     102,   11.68,   14.08,   12.83,   14.93,     44.29,   99.00,   99.00,   99.00,   99.00,   99.00, 3
04/12/2020,     103,   11.60,   14.40,   12.91,   15.11,     41.65,   99.00,   99.00,   99.00,   99.00,   99.00, 4
04/13/2020,     104,   11.75,   14.59,   12.97,   15.19,     46.78,   99.00,   99.00,   99.00,   99.00,   99.00, 3
04/14/2020,     105,   13.98,   15.16,   14.59,   17.01,     39.87,    5.04,   99.00,   99.00,   99.00,   99.00, 4
04/15/2020,     106,   13.63,   14.79,   14.18,   16.50,     47.09,   10.56,   99.00,   99.00,   99.00,   99.00, 3
04/16/2020,     107,   12.75,   15.01,   13.71,   16.06,     47.54,   15.41,   99.00,   99.00,   99.00,   99.00, 3
04/17/2020,     108,   12.68,   14.85,   13.75,   15.99,     35.57,   16.14,   99.00,   99.00,   99.00,   99.00, 4
04/18/2020,     109,   13.39,   15.97,   14.06,   16.29,     45.11,   13.11,   99.00,   99.00,   99.00,   99.00, 3
04/19/2020,     110,   13.52,   15.48,   14.24,   16.52,     42.36,   10.87,   99.00,   99.00,   99.00,   99.00, 3
04/20/2020,     111,   13.91,   15.32,   14.48,   16.73,     44.34,    8.83,   99.00,   99.00,   99.00,   99.00, 3
04/21/2020,     112,   13.63,   16.00,   14.32,   16.67,     49.95,    9.56,   99.00,   99.00,   99.00,   99.00, 3
04/22/2020,     113,   12.97,   16.69,   14.16,   16.67,     43.21,    9.59,   99.00,   99.00,   99.00,   99.00, 3
04/23/2020,     114,   13.81,   17.36,   14.86,   17.54,     43.27,    1.16,   99.00,   99.00,   99.00,   99.00, 3
04/24/2020,     115,   14.45,   17.68,   15.48,   18.26,     38.09,    0.00,   21.69,   99.00,   99.00,   99.00, 4
04/25/2020,     116,   13.92,   17.72,   15.26,   18.12,     35.65,    0.00,   99.00,   99.00,   99.00,   99.00, 4
04/26/2020,     117,   14.12,   16.88,   15.29,   18.04,     37.92,    0.00,   99.00,   99.00,   99.00,   99.00, 4
04/27/2020,     118,   12.79,   17.69,   14.23,   16.93,     46.55,    7.69,   99.00,   99.00,   99.00,   99.00, 3
04/28/2020,     119,   13.72,   18.36,   15.19,   18.12,     38.88,    0.00,   99.00,   99.00,   99.00,   99.00, 4
04/29/2020,     120,   14.36,   17.41,   15.48,   18.22,     41.31,    0.00,   22.05,   99.00,   99.00,   99.00, 4
04/30/2020,     121,   14.00,   17.81,   15.43,   18.20,     34.07,    0.00,   22.22,   99.00,   99.00,   99.00, 4
05/01/2020,     122,   14.09,   16.61,   15.42,   18.13,     36.76,    0.00,   99.00,   99.00,   99.00,   99.00, 4
05/02/2020,     123,   13.81,   17.17,   15.21,   17.88,     37.29,    0.00,   99.00,   99.00,   99.00,   99.00, 4
05/03/2020,     124,   13.62,   17.66,   15.12,   17.79,     36.73,    0.66,   99.00,   99.00,   99.00,   99.00, 4
05/04/2020,     125,   13.75,   17.55,   15.28,   18.04,     37.52,    0.00,   99.00,   99.00,   99.00,   99.00, 4
05/05/2020,     126,   13.95,   17.85,   15.57,   18.40,     35.17,    0.00,   20.38,   99.00,   99.00,   99.00, 4
05/06/2020,     127,   13.71,   17.51,   15.29,   18.14,     41.71,    0.00,   99.00,   99.00,   99.00,   99.00, 4
05/07/2020,     128,   14.29,   17.91,   15.99,   19.05,     36.93,    0.00,   14.77,   99.00,   99.00,   99.00, 4
05/08/2020,     129,   13.88,   18.37,   15.84,   19.04,     34.12,    0.00,   14.95,   99.00,   99.00,   99.00, 4
05/09/2020,     130,   13.46,   18.20,   15.35,   18.49,     41.57,    0.00,   19.65,   99.00,   99.00,   99.00, 4
05/10/2020,     131,   13.41,   17.68,   15.36,   18.24,     33.98,    0.00,   21.78,   99.00,   99.00,   99.00, 4
05/11/2020,     132,   14.82,   17.67,   16.32,   19.08,     39.73,    0.00,   14.72,   99.00,   99.00,   99.00, 4
05/12/2020,     133,   14.78,   17.23,   16.29,   18.99,     40.07,    0.00,   15.56,   99.00,   99.00,   99.00, 4
05/13/2020,     134,   14.21,   16.79,   15.82,   18.46,     41.43,    0.00,   19.93,   99.00,   99.00,   99.00, 4
05/14/2020,     135,   14.03,   17.31,   15.39,   17.99,     58.42,    0.81,   99.00,   99.00,   99.00,   99.00, 2
05/15/2020,     136,   14.84,   17.76,   16.26,   19.06,     53.29,    0.00,   15.10,   99.00,   99.00,   99.00, 3
05/16/2020,     137,   13.59,   17.57,   15.32,   18.20,     51.20,    0.00,   22.14,   99.00,   99.00,   99.00, 3
05/17/2020,     138,   14.54,   17.16,   16.04,   18.78,     51.90,    0.00,   17.42,   99.00,   99.00,   99.00, 3
05/18/2020,     139,   13.29,   17.47,   14.93,   17.51,     52.02,    5.00,   99.00,   99.00,   99.00,   99.00, 3
05/19/2020,     140,   13.66,   16.55,   15.21,   17.82,     54.93,    2.45,   99.00,   99.00,   99.00,   99.00, 3
05/20/2020,     141,   13.62,   17.92,   15.49,   18.30,     43.52,    0.00,   21.26,   99.00,   99.00,   99.00, 3
05/21/2020,     142,   13.75,   18.51,   15.84,   18.87,     38.26,    0.00,   16.67,   99.00,   99.00,   99.00, 4
05/22/2020,     143,   13.70,   17.67,   15.89,   18.91,     34.72,    0.00,   16.36,   99.00,   99.00,   99.00, 4
05/23/2020,     144,   13.78,   17.92,   15.90,   18.94,     38.23,    0.00,   16.08,   99.00,   99.00,   99.00, 4
05/24/2020,     145,   13.59,   18.05,   15.76,   18.90,     40.21,    0.00,   16.42,   99.00,   99.00,   99.00, 4
05/25/2020,     146,   13.67,   18.76,   16.05,   19.42,     36.56,    0.00,   12.22,   99.00,   99.00,   99.00, 4
05/26/2020,     147,   13.44,   19.14,   15.99,   19.55,     36.36,    0.00,   11.21,   99.00,   99.00,   99.00, 4
05/27/2020,     148,   13.59,   19.31,   16.17,   19.74,     35.00,    0.00,    9.66,   99.00,   99.00,   99.00, 4
05/28/2020,     149,   14.02,   18.61,   16.20,   19.58,     45.36,    0.00,   10.91,   99.00,   99.00,   99.00, 3
05/29/2020,     150,   14.32,   17.43,   16.09,   19.07,     51.76,    0.00,   15.07,   99.00,   99.00,   99.00, 3
