Date,          JDAY,  AveFol, AveWatt,AveHazel,AveRMTemp( 1.0 ),AveFlowCFS, Miles @60, Miles @65, Miles @68, Miles @70, Miles @75
01/01/2020,       1,   49.95,   50.31,   50.57,   50.06,   2266.14,    0.00,    0.00,    0.00,    0.00,    0.00, 0
01/02/2020,       2,   49.95,   50.14,   50.51,   49.92,   2492.86,    0.00,    0.00,    0.00,    0.00,    0.00, 0
01/03/2020,       3,   49.93,   50.24,   50.53,   50.01,   2391.86,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/04/2020,       4,   49.82,   50.07,   50.42,   49.85,   2377.03,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/05/2020,       5,   50.44,   49.99,   50.95,   50.31,   2551.84,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/06/2020,       6,   50.75,   49.26,   51.18,   50.27,   2375.97,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/07/2020,       7,   50.34,   49.69,   50.80,   49.94,   2456.14,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/08/2020,       8,   50.00,   50.49,   50.59,   50.00,   2341.01,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/09/2020,       9,   49.63,   50.03,   50.22,   49.62,   2348.07,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/10/2020,      10,   49.12,   49.41,   49.72,   49.03,   2284.15,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/11/2020,      11,   48.96,   49.60,   49.64,   49.16,   2286.98,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/12/2020,      12,   49.66,   48.69,   50.20,   49.46,   2407.05,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/13/2020,      13,   49.29,   49.22,   49.93,   49.49,   2450.84,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/14/2020,      14,   49.39,   49.53,   49.96,   49.46,   2666.96,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/15/2020,      15,   49.09,   49.01,   49.78,   49.10,   1887.92,    0.00,    0.00,    0.00,    0.00,    0.00, 3
01/16/2020,      16,   49.20,   48.95,   49.89,   49.30,   1963.85,    0.00,    0.00,    0.00,    0.00,    0.00, 3
01/17/2020,      17,   49.80,   48.96,   50.52,   49.85,   1694.04,    0.00,    0.00,    0.00,    0.00,    0.00, 3
01/18/2020,      18,   49.83,   48.76,   50.48,   49.87,   1900.99,    0.00,    0.00,    0.00,    0.00,    0.00, 3
01/19/2020,      19,   49.53,   49.07,   50.12,   49.52,   2045.07,    0.00,    0.00,    0.00,    0.00,    0.00, 2
01/20/2020,      20,   49.54,   49.56,   50.23,   49.84,   1873.09,    0.00,    0.00,    0.00,    0.00,    0.00, 3
01/21/2020,      21,   49.58,   50.17,   50.33,   50.21,   1925.00,    0.00,    0.00,    0.00,    0.00,    0.00, 3
01/22/2020,      22,   49.58,   50.28,   50.45,   50.47,   1653.08,    0.00,    0.00,    0.00,    0.00,    0.00, 3
01/23/2020,      23,   48.97,   50.04,   49.78,   49.83,   1894.98,   99.00,   99.00,   99.00,   99.00,   99.00, 3
01/24/2020,      24,   49.06,   50.67,   49.98,   50.28,   1834.95,   99.00,   99.00,   99.00,   99.00,   99.00, 3
01/25/2020,      25,   49.05,   50.62,   50.00,   50.32,   1678.86,   99.00,   99.00,   99.00,   99.00,   99.00, 3
01/26/2020,      26,   48.52,   50.47,   49.50,   50.04,   2001.99,   99.00,   99.00,   99.00,   99.00,   99.00, 3
01/27/2020,      27,   48.44,   50.25,   49.43,   49.89,   1737.83,   99.00,   99.00,   99.00,   99.00,   99.00, 3
01/28/2020,      28,   48.58,   50.01,   49.46,   49.88,   1869.91,   99.00,   99.00,   99.00,   99.00,   99.00, 3
01/29/2020,      29,   48.53,   49.33,   49.27,   49.69,   2274.97,   99.00,   99.00,   99.00,   99.00,   99.00, 2
01/30/2020,      30,   48.43,   49.97,   49.39,   50.06,   1983.98,   99.00,   99.00,   99.00,   99.00,   99.00, 3
01/31/2020,      31,   48.83,   50.26,   49.81,   50.56,   1840.95,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/01/2020,      32,   49.18,   50.04,   50.05,   50.76,   1933.12,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/02/2020,      33,   49.14,   49.48,   49.91,   50.48,   1805.99,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/03/2020,      34,   49.45,   48.90,   49.80,   50.02,   2104.05,   99.00,   99.00,   99.00,   99.00,   99.00, 2
02/04/2020,      35,   49.29,   49.24,   49.78,   50.15,   1863.91,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/05/2020,      36,   48.84,   49.61,   49.46,   50.05,   1979.03,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/06/2020,      37,   49.41,   50.38,   50.11,   50.90,   1803.17,   99.00,   99.00,   99.00,   99.00,   99.00, 3
02/07/2020,      38,   49.07,   50.69,   49.91,   50.92,   1900.99,   99.00,   99.00,   99.00,   99.00,   99.00, 3
