 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
     1.000,   1,  0.22890000E+04,   0.00000000E+00,  -0.71925000E+03,  -0.83250000E+01,  -0.36739523E+02,   0.00000000E+00,   0.30975000E+03,   0.00000000E+00,  -0.95204248E-09,
    15.000,   1,  0.31029145E+08,   0.00000000E+00,  -0.72756624E+08,  -0.13427404E+06,  -0.61016810E+06,  -0.22518717E+06,   0.50374504E+07,   0.00000000E+00,  -0.11870572E-12,
    29.000,   1,  0.27930605E+09,   0.00000000E+00,  -0.21765818E+09,  -0.26853964E+06,  -0.78689494E+06,  -0.19562014E+07,   0.13497432E+08,   0.00000000E+00,   0.12664671E-10,
    43.000,   1,  0.44421124E+09,   0.00000000E+00,  -0.39793377E+09,  -0.38988247E+06,  -0.10147714E+07,  -0.16724215E+08,   0.22857187E+08,   0.00000000E+00,  -0.93779299E-11,
    57.000,   1,  0.92755242E+09,   0.00000000E+00,  -0.88895000E+09,  -0.50842383E+06,  -0.14319401E+07,  -0.15635982E+08,   0.31968933E+08,   0.00000000E+00,   0.82716762E-10,
    71.000,   1,  0.12722058E+10,   0.00000000E+00,  -0.12128046E+10,  -0.65962806E+06,  -0.19247721E+07,  -0.39771380E+06,   0.42287941E+08,   0.00000000E+00,   0.17440127E-09,
    85.000,   1,  0.14806106E+10,   0.00000000E+00,  -0.13770568E+10,  -0.82171526E+06,  -0.30170535E+07,   0.16854498E+07,   0.51194919E+08,   0.00000000E+00,   0.57478195E-10,
    99.000,   1,  0.16544389E+10,   0.00000000E+00,  -0.15038160E+10,  -0.10479541E+07,  -0.42086459E+07,   0.22754987E+07,   0.59689250E+08,   0.00000000E+00,   0.91895575E-10,
   113.000,   1,  0.18208079E+10,   0.00000000E+00,  -0.16579651E+10,  -0.13297890E+07,  -0.55531107E+07,   0.39163336E+07,   0.66514347E+08,   0.00000000E+00,   0.15196804E-09,
   127.000,   1,  0.19594253E+10,   0.00000000E+00,  -0.18404612E+10,  -0.16263581E+07,  -0.74566370E+07,   0.27813401E+07,   0.71137135E+08,   0.00000000E+00,   0.24748774E-09,
   141.000,   1,  0.21411911E+10,   0.00000000E+00,  -0.19755766E+10,  -0.19456928E+07,  -0.91943764E+07,   0.46368299E+07,   0.74230238E+08,   0.00000000E+00,   0.19541207E-09,
   155.000,   1,  0.23105925E+10,   0.00000000E+00,  -0.20642417E+10,  -0.22913862E+07,  -0.11916555E+08,   0.54115201E+07,   0.74550767E+08,   0.00000000E+00,   0.17058061E-09,
   169.000,   1,  0.24210073E+10,   0.00000000E+00,  -0.21566520E+10,  -0.27582920E+07,  -0.14863527E+08,   0.64726665E+07,   0.74841072E+08,   0.00000000E+00,   0.12099122E-09,
   183.000,   1,  0.25027299E+10,   0.00000000E+00,  -0.22633423E+10,  -0.32274104E+07,  -0.18625314E+08,   0.73233820E+07,   0.75131380E+08,   0.00000000E+00,   0.27242354E-09,
   197.000,   1,  0.25558487E+10,   0.00000000E+00,  -0.23719758E+10,  -0.37560056E+07,  -0.22256693E+08,   0.72835504E+07,   0.75421684E+08,   0.00000000E+00,   0.25155102E-09,
   211.000,   1,  0.26198504E+10,   0.00000000E+00,  -0.25043125E+10,  -0.42845991E+07,  -0.25756634E+08,   0.76322525E+07,   0.75711987E+08,   0.00000000E+00,   0.24939716E-09,
   225.000,   1,  0.26928669E+10,   0.00000000E+00,  -0.25974644E+10,  -0.48350563E+07,  -0.29312935E+08,   0.85189083E+07,   0.76002292E+08,   0.00000000E+00,   0.51091937E-09,
   239.000,   1,  0.27698055E+10,   0.00000000E+00,  -0.26585809E+10,  -0.53902627E+07,  -0.32762760E+08,   0.83784313E+07,   0.76448986E+08,   0.00000000E+00,   0.29959477E-09,
   253.000,   1,  0.28229424E+10,   0.00000000E+00,  -0.26996458E+10,  -0.58867130E+07,  -0.35841505E+08,   0.87299429E+07,   0.77278417E+08,   0.00000000E+00,   0.27838024E-09,
   267.000,   1,  0.28874357E+10,   0.00000000E+00,  -0.27597877E+10,  -0.63451514E+07,  -0.38370005E+08,   0.96247743E+07,   0.82970753E+08,   0.00000000E+00,   0.41713106E-09,
   281.000,   1,  0.29172219E+10,   0.00000000E+00,  -0.28227085E+10,  -0.67316996E+07,  -0.40755880E+08,   0.10566787E+08,   0.90927315E+08,   0.00000000E+00,   0.60413507E-09,
   295.000,   1,  0.29230407E+10,   0.00000000E+00,  -0.28852375E+10,  -0.70353092E+07,  -0.42731859E+08,   0.61072183E+07,   0.95590942E+08,   0.00000000E+00,   0.87916305E-09,
   309.000,   1,  0.29715488E+10,   0.00000000E+00,  -0.29629856E+10,  -0.73062552E+07,  -0.44849431E+08,   0.63883167E+07,   0.95716649E+08,   0.00000000E+00,   0.13715652E-08,
   323.000,   1,  0.30374810E+10,   0.00000000E+00,  -0.30323792E+10,  -0.74792253E+07,  -0.46487882E+08,   0.68792782E+07,   0.99073472E+08,   0.00000000E+00,   0.19615402E-08,
   337.000,   1,  0.30987999E+10,   0.00000000E+00,  -0.31211066E+10,  -0.76488302E+07,  -0.47437720E+08,   0.78021291E+07,   0.10795382E+09,   0.00000000E+00,   0.30084132E-08,
   351.000,   1,  0.31699555E+10,   0.00000000E+00,  -0.32068425E+10,  -0.77903513E+07,  -0.48058889E+08,   0.80700190E+07,   0.11668296E+09,   0.00000000E+00,   0.33760325E-08,
   365.000,   1,  0.32294591E+10,   0.00000000E+00,  -0.32943973E+10,  -0.79318766E+07,  -0.48750456E+08,   0.82817171E+07,   0.12336097E+09,   0.00000000E+00,   0.90197907E-08,
   379.000,   1,  0.32742914E+10,   0.00000000E+00,  -0.33845374E+10,  -0.80636794E+07,  -0.49316110E+08,   0.85877404E+07,   0.12771937E+09,   0.00000000E+00,  -0.25258090E-08,
   393.000,   1,  0.33234790E+10,   0.00000000E+00,  -0.34486454E+10,  -0.81943162E+07,  -0.49954394E+08,   0.94568032E+07,   0.13123884E+09,   0.00000000E+00,  -0.17019727E-08,
   407.000,   1,  0.33624500E+10,   0.00000000E+00,  -0.35031343E+10,  -0.83183863E+07,  -0.50601562E+08,   0.74368853E+07,   0.13455370E+09,   0.00000000E+00,  -0.76994193E-09,
   421.000,   1,  0.34404095E+10,   0.00000000E+00,  -0.35539294E+10,  -0.84393463E+07,  -0.51002558E+08,   0.82536646E+07,   0.14254281E+09,   0.00000000E+00,  -0.27587374E-08,
   435.000,   1,  0.35304142E+10,   0.00000000E+00,  -0.36064766E+10,  -0.85890344E+07,  -0.51420768E+08,   0.10359575E+08,   0.15282475E+09,   0.00000000E+00,   0.16420658E-08,
   449.000,   1,  0.36045856E+10,   0.00000000E+00,  -0.36618588E+10,  -0.87523299E+07,  -0.52024659E+08,   0.10973202E+08,   0.16157311E+09,   0.00000000E+00,   0.89204856E-09,
   463.000,   1,  0.37047311E+10,   0.00000000E+00,  -0.37234581E+10,  -0.89414631E+07,  -0.53447087E+08,   0.10769452E+08,   0.16951983E+09,   0.00000000E+00,   0.81150316E-09,
   477.000,   1,  0.37755379E+10,   0.00000000E+00,  -0.37809907E+10,  -0.91603992E+07,  -0.54947784E+08,   0.11165902E+08,   0.17722145E+09,   0.00000000E+00,   0.70402841E-09,
   491.000,   1,  0.38997270E+10,   0.00000000E+00,  -0.38385807E+10,  -0.94520530E+07,  -0.57026858E+08,   0.12755749E+08,   0.18400984E+09,   0.00000000E+00,   0.46453278E-09,
   505.000,   1,  0.39946201E+10,   0.00000000E+00,  -0.39036958E+10,  -0.98971858E+07,  -0.59330643E+08,   0.12907640E+08,   0.18822965E+09,   0.00000000E+00,   0.33752622E-09,
   519.000,   1,  0.40511845E+10,   0.00000000E+00,  -0.39826413E+10,  -0.10355153E+08,  -0.62618883E+08,   0.12823229E+08,   0.19276644E+09,   0.00000000E+00,   0.32815901E-09,
   533.000,   1,  0.40808453E+10,   0.00000000E+00,  -0.40816462E+10,  -0.10920036E+08,  -0.66231648E+08,   0.13425568E+08,   0.19639522E+09,   0.00000000E+00,   0.49228666E-09,
   547.000,   1,  0.41120258E+10,   0.00000000E+00,  -0.41726143E+10,  -0.11484919E+08,  -0.69537094E+08,   0.13900623E+08,   0.19893918E+09,   0.00000000E+00,   0.75674241E-09,
   561.000,   1,  0.41467779E+10,   0.00000000E+00,  -0.42554860E+10,  -0.12055635E+08,  -0.72848247E+08,   0.13845057E+08,   0.19959626E+09,   0.00000000E+00,   0.33015586E-08,
   575.000,   1,  0.41753493E+10,   0.00000000E+00,  -0.43376002E+10,  -0.12626566E+08,  -0.75871062E+08,   0.14554897E+08,   0.19987446E+09,   0.00000000E+00,  -0.11973418E-08,
   589.000,   1,  0.42087053E+10,   0.00000000E+00,  -0.44066111E+10,  -0.13192054E+08,  -0.78891957E+08,   0.14422842E+08,   0.20015613E+09,   0.00000000E+00,  -0.12152316E-09,
   603.000,   1,  0.42397201E+10,   0.00000000E+00,  -0.44687328E+10,  -0.13755727E+08,  -0.81748448E+08,   0.15010067E+08,   0.20043434E+09,   0.00000000E+00,  -0.26539184E-09,
   617.000,   1,  0.42729440E+10,   0.00000000E+00,  -0.45321900E+10,  -0.14282462E+08,  -0.84321128E+08,   0.14928279E+08,   0.20071254E+09,   0.00000000E+00,   0.50568703E-10,
   631.000,   1,  0.43013945E+10,   0.00000000E+00,  -0.45926049E+10,  -0.14777189E+08,  -0.86399426E+08,   0.15326452E+08,   0.20099075E+09,   0.00000000E+00,   0.37119672E-10,
   645.000,   1,  0.43188138E+10,   0.00000000E+00,  -0.46539509E+10,  -0.15241025E+08,  -0.88302845E+08,   0.15671724E+08,   0.20126896E+09,   0.00000000E+00,   0.15259985E-09,
   659.000,   1,  0.43274724E+10,   0.00000000E+00,  -0.47066103E+10,  -0.15657127E+08,  -0.89891960E+08,   0.16322647E+08,   0.20147458E+09,   0.00000000E+00,   0.17208718E-09,
