Date,          JDAY,  AveFol, AveWatt,AveHazel,AveRMTemp( 5.0 ),AveFlowCMS, Miles @60, Miles @65, Miles @68, Miles @70, Miles @75
 1/ 1/1922,       1,    8.50,    9.33,    9.05,    9.05,     52.01,    0.00,    0.00,    0.00,    0.00,    0.00, 0
 1/ 2/1922,       2,    8.50,    9.10,    9.02,    8.94,     50.59,    0.00,    0.00,    0.00,    0.00,    0.00, 0
 1/ 3/1922,       3,    8.44,    8.76,    8.93,    8.75,     49.16,    0.00,    0.00,    0.00,    0.00,    0.00, 0
 1/ 4/1922,       4,    8.46,    8.68,    8.94,    8.72,     47.74,    0.00,    0.00,    0.00,    0.00,    0.00, 3
 1/ 5/1922,       5,    8.41,    8.58,    8.88,    8.63,     47.74,    0.00,    0.00,    0.00,    0.00,    0.00, 3
 1/ 6/1922,       6,    8.38,    8.61,    8.87,    8.66,     47.74,    0.00,    0.00,    0.00,    0.00,    0.00, 3
 1/ 7/1922,       7,    8.29,    8.45,    8.76,    8.49,     47.74,    0.00,    0.00,    0.00,    0.00,    0.00, 3
 1/ 8/1922,       8,    8.23,    8.27,    8.69,    8.38,     47.74,    0.00,    0.00,    0.00,    0.00,    0.00, 3
 1/ 9/1922,       9,    8.13,    8.37,    8.62,    8.37,     47.74,    0.00,    0.00,    0.00,    0.00,    0.00, 3
 1/10/1922,      10,    8.07,    8.33,    8.57,    8.34,     47.74,    0.00,    0.00,    0.00,    0.00,    0.00, 3
 1/11/1922,      11,    7.82,    8.17,    8.32,    8.09,     47.74,    0.00,    0.00,    0.00,    0.00,    0.00, 3
 1/12/1922,      12,    7.66,    8.15,    8.18,    7.99,     47.74,    0.00,    0.00,    0.00,    0.00,    0.00, 3
 1/13/1922,      13,    7.40,    7.94,    7.91,    7.69,     47.74,    0.00,    0.00,    0.00,    0.00,    0.00, 3
 1/14/1922,      14,    7.22,    7.80,    7.75,    7.58,     47.74,    0.00,    0.00,    0.00,    0.00,    0.00, 3
 1/15/1922,      15,    7.07,    7.53,    7.59,    7.39,     47.74,    0.00,    0.00,    0.00,    0.00,    0.00, 3
 1/16/1922,      16,    7.00,    7.28,    7.52,    7.31,     47.74,    0.00,    0.00,    0.00,    0.00,    0.00, 3
 1/17/1922,      17,    6.94,    7.35,    7.49,    7.37,     47.74,    0.00,    0.00,    0.00,    0.00,    0.00, 3
 1/18/1922,      18,    7.04,    7.46,    7.61,    7.58,     47.74,    0.00,    0.00,    0.00,    0.00,    0.00, 3
 1/19/1922,      19,    7.24,    6.87,    7.72,    7.48,     47.74,    0.00,    0.00,    0.00,    0.00,    0.00, 3
 1/20/1922,      20,    7.15,    6.85,    7.64,    7.42,     47.74,    0.00,    0.00,    0.00,    0.00,    0.00, 3
 1/21/1922,      21,    6.93,    6.95,    7.44,    7.27,     47.74,    0.00,    0.00,    0.00,    0.00,    0.00, 3
 1/22/1922,      22,    6.96,    7.17,    7.48,    7.34,     47.74,    0.00,    0.00,    0.00,    0.00,    0.00, 3
 1/23/1922,      23,    6.82,    7.28,    7.38,    7.32,     47.74,   99.00,   99.00,   99.00,   99.00,   99.00, 3
 1/24/1922,      24,    6.70,    7.33,    7.31,    7.35,     47.74,   99.00,   99.00,   99.00,   99.00,   99.00, 3
 1/25/1922,      25,    6.67,    7.63,    7.34,    7.49,     47.74,   99.00,   99.00,   99.00,   99.00,   99.00, 3
 1/26/1922,      26,    6.49,    7.62,    7.22,    7.43,     47.74,   99.00,   99.00,   99.00,   99.00,   99.00, 3
 1/27/1922,      27,    6.27,    7.43,    7.00,    7.20,     47.74,   99.00,   99.00,   99.00,   99.00,   99.00, 3
 1/28/1922,      28,    6.15,    7.05,    6.82,    6.91,     47.74,   99.00,   99.00,   99.00,   99.00,   99.00, 3
 1/29/1922,      29,    5.94,    6.83,    6.62,    6.69,     47.74,   99.00,   99.00,   99.00,   99.00,   99.00, 3
 1/30/1922,      30,    6.18,    6.31,    6.68,    6.68,     70.29,   99.00,   99.00,   99.00,   99.00,   99.00, 2
 1/31/1922,      31,    6.20,    6.25,    6.63,    6.63,     92.83,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/ 1/1922,      32,    5.98,    6.45,    6.44,    6.54,    115.38,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/ 2/1922,      33,    6.06,    6.11,    6.43,    6.49,    137.93,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/ 3/1922,      34,    6.21,    6.08,    6.51,    6.56,    160.48,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/ 4/1922,      35,    6.11,    6.21,    6.41,    6.49,    183.03,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/ 5/1922,      36,    5.94,    6.25,    6.30,    6.45,    183.03,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/ 6/1922,      37,    5.95,    6.56,    6.43,    6.74,    183.03,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/ 7/1922,      38,    5.99,    6.69,    6.52,    6.88,    183.03,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/ 8/1922,      39,    5.80,    6.96,    6.44,    6.89,    183.03,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/ 9/1922,      40,    5.76,    7.12,    6.51,    7.08,    183.03,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/10/1922,      41,    5.71,    6.61,    6.34,    6.75,    183.03,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/11/1922,      42,    5.26,    6.34,    5.92,    6.26,    183.03,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/12/1922,      43,    5.27,    5.60,    5.83,    6.03,    183.03,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/13/1922,      44,    5.71,    5.51,    6.17,    6.34,    183.03,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/14/1922,      45,    6.39,    5.93,    6.76,    6.97,    183.03,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/15/1922,      46,    6.37,    6.86,    6.87,    7.24,    183.03,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/16/1922,      47,    6.15,    7.09,    6.77,    7.25,    183.03,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/17/1922,      48,    5.96,    7.14,    6.69,    7.27,    183.03,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/18/1922,      49,    5.75,    7.18,    6.58,    7.24,    183.03,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/19/1922,      50,    5.66,    7.02,    6.51,    7.19,    183.03,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/20/1922,      51,    5.89,    6.55,    6.59,    7.15,    183.03,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/21/1922,      52,    6.08,    6.43,    6.65,    7.13,    183.03,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/22/1922,      53,    5.92,    6.67,    6.55,    7.08,    183.03,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/23/1922,      54,    6.10,    6.56,    6.71,    7.26,    183.03,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/24/1922,      55,    6.39,    6.79,    6.97,    7.58,    183.03,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/25/1922,      56,    6.46,    7.41,    7.13,    7.89,    183.03,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/26/1922,      57,    6.43,    7.46,    7.11,    7.89,    183.03,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/27/1922,      58,    5.79,    7.06,    6.50,    7.15,    173.15,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 2/28/1922,      59,    6.81,    6.62,    7.39,    8.10,    163.28,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/ 1/1922,      60,    7.25,    7.50,    7.77,    8.50,    153.40,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/ 2/1922,      61,    7.58,    8.01,    8.10,    8.88,    143.53,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/ 3/1922,      62,    7.43,    8.55,    8.07,    8.95,    133.65,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/ 4/1922,      63,    6.83,    8.37,    7.58,    8.44,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/ 5/1922,      64,    7.02,    7.59,    7.68,    8.47,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/ 6/1922,      65,    7.12,    7.74,    7.78,    8.58,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/ 7/1922,      66,    7.46,    8.31,    8.17,    9.16,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/ 8/1922,      67,    7.23,    8.41,    7.94,    8.87,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/ 9/1922,      68,    7.54,    8.24,    8.21,    9.17,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/10/1922,      69,    7.12,    8.22,    7.80,    8.67,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/11/1922,      70,    6.80,    7.46,    7.46,    8.20,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/12/1922,      71,    7.22,    7.08,    7.81,    8.55,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/13/1922,      72,    7.44,    8.07,    8.12,    9.10,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/14/1922,      73,    7.41,    8.59,    8.16,    9.27,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/15/1922,      74,    7.18,    9.01,    8.06,    9.35,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/16/1922,      75,    7.27,    8.20,    8.03,    9.11,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/17/1922,      76,    7.49,    7.98,    8.17,    9.16,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/18/1922,      77,    7.73,    8.61,    8.48,    9.62,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/19/1922,      78,    7.69,    8.98,    8.51,    9.69,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/20/1922,      79,    7.85,    9.17,    8.71,    9.97,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/21/1922,      80,    8.49,    9.60,    9.32,   10.69,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/22/1922,      81,    8.34,   10.28,    9.24,   10.64,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/23/1922,      82,    8.09,    9.99,    9.04,   10.37,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/24/1922,      83,    8.09,    9.64,    9.05,   10.33,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/25/1922,      84,    8.32,    9.83,    9.29,   10.64,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/26/1922,      85,    7.70,   10.00,    8.84,   10.16,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/27/1922,      86,    8.26,    9.17,    9.23,   10.45,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/28/1922,      87,    8.51,    9.71,    9.45,   10.69,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/29/1922,      88,    8.58,   10.16,    9.58,   10.90,    123.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/30/1922,      89,    8.60,   10.30,    9.64,   10.99,    126.78,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 3/31/1922,      90,    8.15,   10.20,    9.29,   10.59,    129.77,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 4/ 1/1922,      91,    8.19,    9.52,    9.27,   10.47,    132.77,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 4/ 2/1922,      92,    8.98,   10.18,   10.00,   11.43,    135.77,   99.00,   99.00,   99.00,   99.00,   99.00, 1
 4/ 3/1922,      93,    9.34,   11.08,   10.34,   11.86,    138.77,   99.00,   99.00,   99.00,   99.00,   99.00, 1
