$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,,
DLX,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.16,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,251.4,267.8,267.8,267.8,267.8,267.8,267.8,267.8,267.8,267.8,267.8,267.8,267.8,,
ELWS,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,128.0795747,,
PHI0,0,2.78,5.91,5.88,6.17,0.15,0.51,1.11,0.76,0.54,6.08,5.78,5.98,6.06,6.12,0.41,0.84,1.17,1.29,1.3,1.3,1.13,0.57,0.61,0.8,0.82,1.13,0.97,0.61,0.22,0.21,5.4,5.43,5.48,5.84,0.28,0.38,1.02,1.2,1.37,1.62,2.34,2.17,1.74,1.54,0.68,5.84,5.16,5.36,5.93,6.25,5.8,0.23,0.38,0.27,0.8,0.48,0.05,0.34,5.95,5.89,0.13,0.66,0.68,0.38,0.26,0.31,0.65,0.95,1.25,1.01,0.33,0.06,0.1,0.23,0.33,6.08,6.26,0.18,0.63,0.98,0.74,0.23,0.52,0.47,0.3,0.56,0.82,0.83,1.14,1,0.75,0.29,0.02,5.92,5.9,6.18,5.97,5.95,0.16,0.54,0.83,1.13,1.12,1.02,0,0,6.07,3.03,2.91,2.45,1.78,1.34,0.96,0.95,5.07,1.55,1.71,1.74,1.59,1.47,1.37,1.4,1.13,0.65,0.68,0.62,0.56,0.49,0.15,0.13,0.51,1.15,1.71,2.75,2.52,0.98,0.21,0.09,0.61,0.79,0.41,1,1.31,1.24,1.08,0.88,0.33,6.13,0.21,1.25,1.41,1.35,0.94,1.33,1.55,1.69,1.49,0.11,0.04,6.18,0.11,6.13,0.07,0.65,0.73,0.54,0.66,0.59,0.61,0.94,1.01,0.58,0.8,1.98,2.14,2.63,2.22,0,0,0.41,3.08,2.96,3.12,3.18,2.98,3.06,2.75,2.39,1.88,0,,
FRIC,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,
LAYERH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,ELEV
0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
0.61,0,88.778,106.271,98.754,101.55,95.651,163.425,166.508,202.096,218.239,165.438,108.922,112.132,129.348,145.367,212.906,195.719,123.767,155.538,152.522,181.219,310.307,396.286,247.525,306.163,297.678,344.037,211.94,907.116,414.898,384.112,365.777,316.547,527.092,546.22,347.553,438.65,602.906,699.536,714.74,969.284,1230.533,623.054,917.015,1029.036,764.477,497.35,325.745,832.631,616.708,923.822,1068.503,928.637,1088.736,1088.27,808.105,553.874,729.631,619.06,772.999,1203.402,800.338,810.053,816.489,1017.843,1121.01,1458.91,1386.687,1452.699,1578.328,1664.504,1573.682,1474.262,1743.443,1706.401,2762.269,2544.631,2868.253,3242.135,2519.884,2066.997,3288.485,3060.771,3018.563,2689.348,2715.051,1710.149,1697.109,1699.623,1684.487,1840.678,1790.399,2981.792,3256.46,4611.059,2962.653,3307.852,2905.718,1443.701,1401.099,1200.032,1121.596,1186.495,1401.497,3426.103,0,0,64.818,51.82,59.856,105.237,81.576,84.454,81.186,76.53,85.194,97.341,230.564,181.484,177.621,233.553,336.071,520.205,169.676,485.666,420.832,673.369,555.508,619.058,1009.607,1761.925,874.566,677.203,479.485,334.923,278.884,268.407,708.836,667.386,221.96,302.901,440.621,391.057,553.541,1268.684,1560.663,1378.346,490.25,891.625,1539.505,643.306,482.249,560.294,686.871,584.691,2834.903,1480.749,1342.987,1281.422,1991.997,2859.214,2385.739,2909.104,2919.545,3226.661,2737.261,2664.777,2592.65,2728.652,2722.936,2974.145,1959.427,2427.208,1810.639,2253.505,1922.037,2552.506,2090.294,0,0,141.399,110.169,215.017,252.418,260.28,284.681,467.897,473.283,879.998,369.969,0,2,149.11
0.61,0,69.091,99.422,96.317,97.886,93.812,160.993,164.522,196.942,213.796,163.671,107.541,110.533,127.23,142.764,209.918,192.117,122.589,153.263,150.398,178.766,305.466,390.941,244.028,301.443,292.81,338.125,204.367,889.479,405.941,373.392,353.602,310.078,515.349,534.275,343.292,431.446,589.693,690.838,697.859,948.88,1222.718,618.031,911.435,1019.041,755.963,492.139,321.602,831.13,616.194,914.732,1058.692,920.013,1071.456,1080.072,801.83,551.147,724.141,608.724,763.475,1192.997,793.851,804.323,812.115,1005.837,1111.951,1453.919,1378.974,1445.556,1569.826,1644.019,1561.02,1426.922,1720.529,1680.028,2711.234,2509.487,2837.677,3228.888,2501.217,2052.014,3279.097,3045.223,3012.718,2676.161,2700.74,1699.97,1695.899,1696.04,1679.201,1838.047,1787.571,2976.844,3252.553,4609.027,2962.653,3307.852,2905.718,1443.701,1401.099,1200.032,1121.596,1186.495,1401.497,3426.103,0,0,62.724,50.388,58.406,103.035,79.977,82.642,79.786,75.12,83.506,95.51,223.493,177.889,174.352,228.904,330.602,503.563,166.531,472.535,410.885,659.627,546.33,611.216,981.842,1719.359,849.474,672.535,475.83,330.003,276.281,266.686,692.809,659.111,220.006,298.056,439.251,389.894,544.805,1257.592,1522.164,1355.075,480.924,863.206,1496.995,630.488,477.419,549.278,673.87,566.745,2797.465,1473.754,1328.67,1281.068,1991.443,2858.653,2384.173,2904.303,2912.015,3217.131,2719.538,2637.25,2577.802,2724.957,2718.46,2974.145,1959.427,2427.208,1806.216,2250.561,1921.871,2552.506,2090.294,0,0,130.249,105.482,205.672,243.944,252.799,273.538,454.463,455.948,859.803,366.59,0,3,148.5
0.61,0,57.036,93.262,93.664,94.768,91.812,158.48,162.471,191.581,209.285,161.955,106.186,108.991,125.399,140.186,207.092,188.67,121.471,151.156,148.466,176.428,301.023,385.775,240.582,296.875,288.088,332.746,199.199,874.631,397.666,366.133,342.298,305.043,504.092,523.066,339.332,425.862,578.345,682.849,685.295,932.787,1215.299,613.695,906.11,1010.404,748.125,487.302,318.365,829.94,615.667,907.228,1049.55,911.421,1058.058,1073.216,795.897,548.663,718.599,599.066,754.691,1183.04,788.743,799.279,807.505,995.521,1103.36,1449.294,1371.508,1438.855,1562.419,1627.457,1550.296,1390.256,1701.49,1660.216,2673.015,2489.703,2813.74,3216.67,2491.09,2041.695,3272.121,3036.48,3008.315,2667.193,2690.897,1695.689,1695.232,1692.424,1674.033,1835.67,1784.587,2971.82,3248.639,4607.012,2962.653,3307.852,2905.718,1443.701,1401.099,1200.032,1121.596,1186.495,1401.497,3426.103,0,0,60.528,49.031,56.926,100.89,78.428,80.851,78.375,73.687,81.779,93.81,217.089,174.264,171.656,224.734,325.106,489.395,163.571,460.668,401.603,647.539,538.485,603.859,956.616,1689.438,828.435,668.322,472.354,326.26,273.8,264.954,677.611,651.123,218.158,293.367,437.867,388.946,536.169,1247.015,1485.949,1332.627,474.301,844.239,1466.222,620.148,473.419,538.853,662.33,555.405,2763.44,1467.346,1316.39,1280.772,1990.849,2858.286,2382.715,2899.601,2904.659,3207.637,2706.627,2615.286,2565.91,2721.626,2714.318,2974.145,1959.427,2427.208,1802.172,2248.048,1921.738,2552.506,2090.294,0,0,118.711,101.229,199.138,237.506,246.309,264.944,444.109,443.777,842.995,363.609,0,4,147.89
0.61,0,42.271,86.651,90.498,91.316,89.723,155.861,160.272,185.824,204.669,160.201,104.772,107.404,123.603,137.675,204,185.25,120.364,149.11,146.516,174.036,296.653,380.683,237.156,292.374,283.421,327.405,194.467,858.656,388.78,358.299,332.443,300.405,492.58,511.231,334.999,420.204,566.529,674.39,671.508,914.979,1206.349,608.74,900.585,1001.475,740.383,482.491,315.128,828.745,614.873,898.892,1040.489,902.413,1041.993,1066.56,789.743,545.985,712.959,588.27,744.864,1172.563,783.784,794.552,802.461,985.185,1094.462,1444.552,1363.779,1431.929,1554.78,1611.447,1538.063,1348.884,1677.639,1639.359,2619.587,2461.146,2782.324,3187.772,2480.773,2030.016,3261.104,3021.587,3002.655,2647.017,2676.61,1690.729,1694.582,1688.711,1668.475,1833.201,1781.291,2966.598,3243.204,4603.537,2962.653,3307.852,2905.718,1443.701,1401.099,1200.032,1121.596,1186.495,1401.497,3426.103,0,0,58.229,47.693,55.291,98.727,76.875,79.04,76.895,72.183,80.101,92.109,210.789,170.21,168.957,220.212,319.148,475.154,160.651,447.763,392.198,634.708,530.134,595.71,928.931,1655.268,803.446,662.919,468.72,322.224,271.168,263.151,662.09,641.919,216.26,288.654,436.416,388.023,527.58,1236.657,1448.513,1309.776,467.378,824.051,1432.228,610.158,469.378,528.407,649.687,544.031,2725.84,1461.027,1301.998,1280.441,1990.103,2857.939,2381.249,2894.825,2896.532,3196.519,2691.56,2591.863,2552.848,2718.335,2710.118,2974.145,1959.427,2427.208,1797.52,2244.848,1921.405,2552.506,2090.294,0,0,107.247,97.233,192.998,231.063,239.921,255.68,432.26,430.672,824.499,360.805,0,5,147.28
0.61,0,26.308,78.302,86.273,87.466,87.484,153.135,157.901,180.272,200.352,158.393,103.32,105.78,121.815,135.154,200.803,181.814,119.263,147.087,144.566,171.701,292.208,375.569,233.652,287.909,278.825,322.285,190.188,842.472,379.089,350.361,323.921,296.011,481.283,499.839,331.017,414.945,553.762,665.429,657.974,896.441,1195.874,603.601,895.039,992.191,732.823,477.79,312.46,827.498,613.623,889.714,1030.816,892.623,1025.656,1060.023,783.322,543.283,707.194,576.257,735.953,1161.994,779.107,790.081,796.816,974.774,1085.679,1439.908,1355.586,1424.838,1546.83,1595.158,1526.054,1306.995,1653.45,1619.681,2558.425,2426.739,2748.698,3152.013,2471.1,2017.939,3247.199,3000.203,2996.339,2624.487,2658.195,1686.783,1693.829,1684.785,1662.511,1830.641,1777.923,2961.476,3236.599,4598.912,2962.261,3307.852,2905.718,1443.701,1401.099,1200.032,1121.596,1186.495,1401.497,3426.103,0,0,55.736,46.35,53.595,96.596,75.303,77.171,75.39,70.652,78.509,90.366,204.868,166.547,166.211,215.132,313.483,461.559,158,434.887,382.364,621.157,521.331,586.914,900.02,1619.87,775.822,655.891,465.101,318.966,268.741,261.252,647.026,630.489,214.336,283.902,434.947,387.103,519.32,1226.297,1410.941,1286.888,461.205,803.203,1396.712,600.04,465.266,517.931,636.149,533.741,2685.751,1454.734,1287.305,1280.007,1989.477,2857.596,2379.675,2889.575,2888.27,3183.484,2674.529,2568.37,2539.61,2714.946,2705.834,2974.145,1959.427,2427.208,1792.835,2240.751,1920.865,2552.506,2090.294,0,0,94.834,93.448,186.82,224.518,233.31,247.372,419.752,417.668,805.908,358.049,0,6,146.67
0.61,0,16.792,69.367,81.959,83.658,85.054,150.301,155.574,175.198,196.475,156.611,101.887,104.201,120.02,132.674,197.912,178.381,118.169,145.135,142.671,169.536,287.751,370.382,230.143,283.513,274.273,317.445,186.287,827.159,370.408,343.84,316.762,291.737,470.862,489.563,328.058,410.124,541.347,656.374,646.454,878.774,1186.745,599.529,889.636,983.56,725.192,473.282,310.084,826.268,612.48,880.863,1020.002,883.173,1013.819,1053.384,777.11,540.798,701.685,564.897,730.1,1152.244,774.904,785.571,791.124,964.941,1077.158,1435.282,1347.636,1418.051,1539.108,1579.427,1515.679,1271.933,1635.837,1602.036,2508.383,2399.235,2716.728,3128.42,2464.154,2008.377,3234.25,2978.808,2982.405,2611.233,2646.052,1685.577,1692.972,1681.022,1656.514,1828.088,1774.678,2955.938,3231.535,4594.668,2957.421,3307.746,2905.718,1443.701,1401.099,1200.032,1121.596,1186.495,1401.497,3426.103,0,0,53.26,44.982,52.006,94.579,73.684,75.252,73.943,69.2,76.948,88.625,199.111,163.615,163.497,210.226,308.533,448.367,155.493,423.357,372.047,607.886,512.904,579.137,873.005,1593.286,748.487,649.033,461.635,316.19,266.373,259.08,632.237,616.869,212.503,279.099,433.578,386.168,511.358,1216.018,1375.085,1265.654,456.034,785.3,1366.429,590.928,461.168,507.597,624.318,525.576,2649.966,1448.341,1274.183,1279.563,1989.043,2857.256,2378.018,2884.185,2880.091,3170.147,2659.435,2547.016,2528.449,2711.426,2701.721,2974.145,1959.427,2427.208,1788.844,2236.516,1920.438,2552.506,2090.294,0,0,82.654,89.667,180.885,218.047,227.015,240.359,409.855,407.188,789.333,355.133,0,7,146.06
0.61,0,15,53.334,74.331,79.325,82.344,147.069,153.222,169.742,192.387,154.805,100.308,102.508,118.124,130.16,194.914,174.799,117.05,142.729,140.673,166.735,282.962,364.711,226.517,278.892,269.482,312.638,182.773,809.953,362.164,334.994,306.85,286.989,460.44,478.874,325.054,404.03,525.032,638.476,632.143,847.813,1175.404,592.781,884.017,974.413,717.082,468.491,307.68,824.935,610.039,869.78,1008.113,873.258,998.303,1045.653,770.303,537.839,695.893,550.584,722.349,1140.326,770.843,780.847,785.095,954.542,1067.734,1430.413,1339.001,1410.401,1529.903,1560.363,1502.403,1221.827,1605.276,1580.506,2406.847,2340.569,2660.562,3080.703,2422.36,1995.696,3213.759,2927.272,2878.491,2586.202,2625.092,1684.329,1692.115,1677.225,1649.296,1825.286,1771.358,2939.003,3222.823,4587.009,2950.475,3306.879,2904.896,1443.701,1401.099,1200.032,1121.596,1186.495,1401.497,3422.43,0,0,50.782,43.579,50.326,92.528,71.861,73.086,72.479,67.752,75.367,86.822,193.288,160.852,160.757,203.552,303.272,432.87,153.117,409.778,357.852,593.778,503.816,571.026,839.567,1561.101,705.735,640.874,458.108,312.331,263.712,256.421,617.006,601.797,210.701,273.747,432.26,385.216,503.01,1204.443,1334.355,1245.066,450.551,764.608,1328.428,580.715,456.764,497.279,610.893,516.446,2606.566,1440.763,1257.044,1279.096,1988.513,2856.459,2376.197,2878.315,2869.105,3151.656,2633.985,2517.5,2514.239,2707.604,2697.397,2973.853,1959.427,2420.766,1783.672,2230.796,1918.292,2552.057,2090.294,0,0,68.928,85.478,172.492,210.745,220.414,233.256,396.295,394.674,770.392,351.288,0,8,145.45
0.61,0,15,39.942,67.823,74.358,79.407,143.853,150.779,164.688,188.465,152.944,98.8,100.927,116.201,127.823,191.932,171.308,115.888,140.68,138.799,164.462,278.3,359.362,222.875,274.125,264.605,307.586,179.617,794.078,354.841,328.445,299.457,282.732,450.561,468.762,322.431,399.064,510.958,622.472,621.095,825.652,1163.535,584.322,878.316,966.722,709.432,464.449,305.36,823.677,607.991,858.46,998.282,864.174,986.467,1038.791,763.985,534.859,690.268,538.973,715.509,1128.906,766.894,776.356,778.979,945.639,1058.596,1425.488,1330.46,1403.384,1521.047,1543.389,1490.533,1184.207,1583.325,1562.983,2337.516,2300.248,2621.132,3047.153,2398.204,1985.951,3199.852,2884.022,2839.674,2575.02,2610.356,1683.587,1691.309,1673.042,1642.731,1822.612,1767.949,2925.539,3215.504,4582.389,2947.735,3306.4,2904.679,1443.701,1401.099,1200.032,1121.596,1186.495,1401.497,3420.29,0,0,48.289,42.122,48.546,90.522,69.883,71.058,70.987,66.299,73.88,85.105,187.461,158.225,158.111,195.91,298.34,419.001,150.858,399.03,344.577,582.483,495.29,564.36,811.354,1536.241,676.539,633.967,454.801,309.342,261.611,253.784,602.782,590.817,208.939,268.472,430.991,384.24,494.765,1194.301,1298.845,1226.077,446.108,747.999,1296.46,572.265,452.923,487.564,600.363,508.584,2570.778,1433.978,1243.716,1278.655,1987.991,2855.811,2374.429,2873.222,2857.269,3137.011,2615.496,2494.381,2503.811,2704.075,2693.41,2973.724,1959.427,2417.859,1779.079,2225.519,1916.785,2551.844,2090.294,0,0,57.332,80.611,165.88,203.594,214.219,226.633,387.347,386.162,754.965,347.819,0,9,144.84
0.61,0,0,23.298,50.505,68.626,75.99,140.42,148.209,159.355,184.6,150.974,97.188,99.344,114.188,125.486,188.952,167.756,114.654,138.718,136.607,162.145,273.235,353.933,219.01,269.318,259.74,301.28,176.427,776.252,346.626,321.471,291.339,278.162,439.746,458.851,319.715,393.807,493.155,599.9,602.82,797.15,1148.736,566.322,872.045,957.738,701.824,460.426,302.414,818.776,606.298,845.84,987.731,851.137,974.321,1031.347,757.57,531.488,683.142,526.802,708.303,1116.942,762.635,771.759,772.471,936.257,1049.016,1420.308,1321.758,1396.205,1511.437,1523.598,1477.183,1138.623,1557.743,1543.954,2236.927,2243.354,2557.901,2994.993,2358.636,1969.527,3160.886,2800.121,2797.358,2560.82,2587.865,1682.727,1690.422,1667.678,1635.869,1819.724,1764.297,2912.812,3208.31,4573.313,2942.936,3305.292,2904.421,1443.701,1401.099,1200.032,1121.596,1186.495,1401.497,3416.095,0,0,45.742,40.555,46.714,88.282,67.878,69.014,69.435,64.809,72.402,83.421,180.936,155.641,155.677,188.887,292.899,403.603,148.603,388.426,328.813,570.555,486.006,557.594,781.701,1506.781,647.316,624.964,451.257,306.466,259.219,250.99,586.811,578.118,207.208,263.083,429.682,383.172,486.313,1184.111,1261.738,1207.199,441.602,729.783,1259.866,563.495,449.204,478.005,589.316,500.298,2529.134,1421.969,1226.579,1272.021,1987.468,2855.251,2372.61,2868.151,2845.415,3117.574,2596.265,2468.77,2493.271,2700.605,2689.321,2973.128,1959.427,2415.202,1773.908,2219.37,1914.883,2551.594,2090.294,0,0,44.317,75.292,158.736,196.097,207.989,219.901,376.513,377.603,738.309,344.243,0,10,144.23
