 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
 19359.000,   1,  0.34507500E+04,   0.00000000E+00,  -0.39427498E+04,  -0.12000000E+02,   0.00000000E+00,  -0.15750000E+02,   0.00000000E+00,   0.00000000E+00,  -0.35297417E-09,
 19373.000,   1,  0.51833436E+08,   0.00000000E+00,  -0.56269547E+08,  -0.19354658E+06,   0.00000000E+00,  -0.28254385E+06,   0.00000000E+00,   0.00000000E+00,  -0.36905098E-10,
 19387.000,   1,  0.10320391E+09,   0.00000000E+00,  -0.11165579E+09,  -0.38707792E+06,   0.00000000E+00,  -0.57284085E+06,   0.00000000E+00,   0.00000000E+00,  -0.26775624E-10,
 19401.000,   1,  0.23102038E+09,   0.00000000E+00,  -0.21956575E+09,  -0.51408799E+06,   0.00000000E+00,  -0.95992874E+06,   0.00000000E+00,   0.00000000E+00,  -0.16610914E-09,
 19415.000,   1,  0.37968023E+09,   0.00000000E+00,  -0.34179584E+09,  -0.62295201E+06,   0.00000000E+00,  -0.14195768E+07,   0.00000000E+00,   0.00000000E+00,   0.33843682E-10,
 19429.000,   1,  0.58423216E+09,   0.00000000E+00,  -0.45713356E+09,  -0.80784811E+06,   0.00000000E+00,  -0.21004170E+07,   0.00000000E+00,   0.00000000E+00,   0.32156667E-10,
 19443.000,   1,  0.80403142E+09,   0.00000000E+00,  -0.57059550E+09,  -0.10134828E+07,   0.00000000E+00,  -0.29471480E+07,   0.00000000E+00,   0.00000000E+00,   0.15623636E-10,
 19457.000,   1,  0.98710062E+09,   0.00000000E+00,  -0.65976511E+09,  -0.12536733E+07,   0.00000000E+00,  -0.40055611E+07,   0.00000000E+00,   0.00000000E+00,   0.15934038E-10,
 19471.000,   1,  0.11426288E+10,   0.00000000E+00,  -0.73071922E+09,  -0.15197815E+07,   0.00000000E+00,  -0.54449644E+07,   0.00000000E+00,   0.00000000E+00,   0.16603288E-10,
 19485.000,   1,  0.13579891E+10,   0.00000000E+00,  -0.87897461E+09,  -0.18481031E+07,   0.00000000E+00,  -0.78772499E+07,   0.00000000E+00,   0.00000000E+00,  -0.68332113E-11,
 19499.000,   1,  0.16531183E+10,   0.00000000E+00,  -0.11302922E+10,  -0.22593655E+07,   0.00000000E+00,  -0.13949419E+08,   0.00000000E+00,   0.00000000E+00,   0.27766089E-11,
 19513.000,   1,  0.19461305E+10,   0.00000000E+00,  -0.13872817E+10,  -0.27198895E+07,   0.00000000E+00,  -0.20021743E+08,   0.00000000E+00,   0.00000000E+00,   0.25571901E-12,
 19527.000,   1,  0.22313459E+10,   0.00000000E+00,  -0.16650342E+10,  -0.33609590E+07,   0.00000000E+00,  -0.26855786E+08,   0.00000000E+00,   0.00000000E+00,   0.50821790E-10,
 19541.000,   1,  0.24989593E+10,   0.00000000E+00,  -0.19266991E+10,  -0.40181755E+07,   0.00000000E+00,  -0.33690040E+08,   0.00000000E+00,   0.00000000E+00,   0.49697380E-10,
 19555.000,   1,  0.26036629E+10,   0.00000000E+00,  -0.20394669E+10,  -0.48245734E+07,   0.00000000E+00,  -0.38678740E+08,   0.00000000E+00,   0.00000000E+00,   0.89368200E-10,
 19569.000,   1,  0.27037805E+10,   0.00000000E+00,  -0.21484384E+10,  -0.56349340E+07,   0.00000000E+00,  -0.43359896E+08,   0.00000000E+00,   0.00000000E+00,   0.12843885E-09,
 19583.000,   1,  0.27779830E+10,   0.00000000E+00,  -0.22898655E+10,  -0.64350972E+07,   0.00000000E+00,  -0.48406705E+08,   0.00000000E+00,   0.00000000E+00,   0.68908079E-10,
 19597.000,   1,  0.28476197E+10,   0.00000000E+00,  -0.24370014E+10,  -0.72334340E+07,   0.00000000E+00,  -0.53656374E+08,   0.00000000E+00,   0.00000000E+00,   0.99959364E-10,
 19611.000,   1,  0.29122704E+10,   0.00000000E+00,  -0.25401760E+10,  -0.79462161E+07,   0.00000000E+00,  -0.59009607E+08,   0.00000000E+00,   0.00000000E+00,   0.29013351E-09,
 19625.000,   1,  0.29741553E+10,   0.00000000E+00,  -0.26189353E+10,  -0.86115147E+07,   0.00000000E+00,  -0.64501344E+08,   0.00000000E+00,   0.00000000E+00,   0.41213368E-09,
 19639.000,   1,  0.30443118E+10,   0.00000000E+00,  -0.27067639E+10,  -0.91739673E+07,   0.00000000E+00,  -0.69384526E+08,   0.00000000E+00,   0.00000000E+00,   0.49775978E-09,
 19653.000,   1,  0.31227433E+10,   0.00000000E+00,  -0.28036662E+10,  -0.96336212E+07,   0.00000000E+00,  -0.72747258E+08,   0.00000000E+00,   0.00000000E+00,   0.75105131E-09,
 19667.000,   1,  0.31976503E+10,   0.00000000E+00,  -0.29152230E+10,  -0.10024137E+08,   0.00000000E+00,  -0.75952553E+08,   0.00000000E+00,   0.00000000E+00,   0.82033035E-09,
 19681.000,   1,  0.32637539E+10,   0.00000000E+00,  -0.30634208E+10,  -0.10241861E+08,   0.00000000E+00,  -0.77113750E+08,   0.00000000E+00,   0.00000000E+00,   0.12756281E-08,
 19695.000,   1,  0.33293411E+10,   0.00000000E+00,  -0.32011085E+10,  -0.10455992E+08,   0.00000000E+00,  -0.78274984E+08,   0.00000000E+00,   0.00000000E+00,   0.38782889E-08,
 19709.000,   1,  0.33919832E+10,   0.00000000E+00,  -0.32790768E+10,  -0.10649673E+08,   0.00000000E+00,  -0.78694863E+08,   0.00000000E+00,   0.00000000E+00,   0.64861737E-08,
 19723.000,   1,  0.34538790E+10,   0.00000000E+00,  -0.33560864E+10,  -0.10843203E+08,   0.00000000E+00,  -0.79057732E+08,   0.00000000E+00,   0.00000000E+00,   0.16189548E-07,
 19737.000,   1,  0.34890093E+10,   0.00000000E+00,  -0.34132787E+10,  -0.11036741E+08,   0.00000000E+00,  -0.79420616E+08,   0.00000000E+00,   0.00000000E+00,  -0.85957410E-08,
 19751.000,   1,  0.35212464E+10,   0.00000000E+00,  -0.34683298E+10,  -0.11230285E+08,   0.00000000E+00,  -0.79783510E+08,   0.00000000E+00,   0.00000000E+00,  -0.31903705E-08,
 19765.000,   1,  0.35567382E+10,   0.00000000E+00,  -0.35210696E+10,  -0.11363334E+08,   0.00000000E+00,  -0.80237099E+08,   0.00000000E+00,   0.00000000E+00,  -0.23371180E-08,
 19779.000,   1,  0.35935345E+10,   0.00000000E+00,  -0.35728893E+10,  -0.11472199E+08,   0.00000000E+00,  -0.80781423E+08,   0.00000000E+00,   0.00000000E+00,  -0.17525457E-08,
 19793.000,   1,  0.36370414E+10,   0.00000000E+00,  -0.36213729E+10,  -0.11643272E+08,   0.00000000E+00,  -0.81460540E+08,   0.00000000E+00,   0.00000000E+00,  -0.10375600E-08,
 19807.000,   1,  0.36842755E+10,   0.00000000E+00,  -0.36680022E+10,  -0.11848900E+08,   0.00000000E+00,  -0.82319342E+08,   0.00000000E+00,   0.00000000E+00,  -0.12374321E-08,
 19821.000,   1,  0.37318236E+10,   0.00000000E+00,  -0.37118763E+10,  -0.12080464E+08,   0.00000000E+00,  -0.83266351E+08,   0.00000000E+00,   0.00000000E+00,  -0.88540781E-09,
 19835.000,   1,  0.37797843E+10,   0.00000000E+00,  -0.37520713E+10,  -0.12346576E+08,   0.00000000E+00,  -0.84536431E+08,   0.00000000E+00,   0.00000000E+00,  -0.10099519E-08,
 19849.000,   1,  0.38266646E+10,   0.00000000E+00,  -0.37929005E+10,  -0.12654147E+08,   0.00000000E+00,  -0.85930905E+08,   0.00000000E+00,   0.00000000E+00,  -0.10103994E-08,
 19863.000,   1,  0.38708515E+10,   0.00000000E+00,  -0.38353213E+10,  -0.13065413E+08,   0.00000000E+00,  -0.88942823E+08,   0.00000000E+00,   0.00000000E+00,  -0.41462302E-09,
 19877.000,   1,  0.39141585E+10,   0.00000000E+00,  -0.38759349E+10,  -0.13498569E+08,   0.00000000E+00,  -0.91954757E+08,   0.00000000E+00,   0.00000000E+00,  -0.10796267E-09,
 19891.000,   1,  0.39493248E+10,   0.00000000E+00,  -0.38998294E+10,  -0.14134204E+08,   0.00000000E+00,  -0.96708697E+08,   0.00000000E+00,   0.00000000E+00,  -0.38097543E-09,
