Natoma temp profiles at dam from tracy mdb 2/13/04				
JDAY		Depth	      TempC	
564.00	0	1.52	18.03	7/17/2001
564.00	0	3.05	17.82	7/17/2001
564.00	0	4.57	18.07	7/17/2001
564.00	0	6.09	17.88	7/17/2001
564.00	0	7.62	17.91	7/17/2001
564.00	0	9.16	17.84	7/17/2001
564.00	0	0.17	19.51	7/17/2001
565.00	0	1.52	18.36	7/18/2001
565.00	0	3.05	17.82	7/18/2001
565.00	0	4.57	17.75	7/18/2001
565.00	0	6.1	17.72	7/18/2001
565.00	0	7.62	17.74	7/18/2001
565.00	0	9.18	17.68	7/18/2001
565.00	0	0.19	19.83	7/18/2001
566.00	0	1.52	18.36	7/19/2001
566.00	0	3.05	17.98	7/19/2001
566.00	0	4.57	17.91	7/19/2001
566.00	0	6.09	17.88	7/19/2001
566.00	0	7.62	17.91	7/19/2001
566.00	0	9.2	17.84	7/19/2001
566.00	0	0.21	19.51	7/19/2001
567.00	0	1.53	18.68	7/20/2001
567.00	0	3.05	18.3	7/20/2001
567.00	0	4.57	18.23	7/20/2001
567.00	0	6.1	18.21	7/20/2001
567.00	0	7.62	18.23	7/20/2001
567.00	0	9.21	18.01	7/20/2001
567.00	0	0.21	19.99	7/20/2001
568.00	0	1.53	18.52	7/21/2001
568.00	0	3.05	18.3	7/21/2001
568.00	0	4.58	18.39	7/21/2001
568.00	0	6.1	18.37	7/21/2001
568.00	0	7.62	18.39	7/21/2001
568.00	0	9.19	18.17	7/21/2001
568.00	0	0.2	19.67	7/21/2001
569.00	0	1.52	18.84	7/22/2001
569.00	0	3.04	18.14	7/22/2001
569.00	0	4.57	18.23	7/22/2001
569.00	0	6.09	18.21	7/22/2001
569.00	0	7.62	18.23	7/22/2001
569.00	0	9.2	18.01	7/22/2001
569.00	0	0.21	20.31	7/22/2001
570.00	0	1.52	18.84	7/23/2001
570.00	0	3.05	18.46	7/23/2001
570.00	0	4.57	18.39	7/23/2001
570.00	0	6.1	18.37	7/23/2001
570.00	0	7.62	18.39	7/23/2001
570.00	0	9.21	18.33	7/23/2001
570.00	0	0.22	19.67	7/23/2001
571.00	0	1.52	18.68	7/24/2001
571.00	0	3.05	18.46	7/24/2001
571.00	0	4.57	18.56	7/24/2001
571.00	0	6.1	18.53	7/24/2001
571.00	0	7.62	18.71	7/24/2001
571.00	0	9.18	18.49	7/24/2001
571.00	0	0.19	19.67	7/24/2001
572.00	0	1.53	18.52	7/25/2001
572.00	0	3.05	17.18	7/25/2001
572.00	0	4.57	17.27	7/25/2001
572.00	0	6.1	17.24	7/25/2001
572.00	0	7.62	17.26	7/25/2001
572.00	0	9.18	17.21	7/25/2001
572.00	0	0.18	20.97	7/25/2001
573.00	0	1.53	16.75	7/26/2001
573.00	0	3.05	16.22	7/26/2001
573.00	0	4.58	16.16	7/26/2001
573.00	0	6.1	16.13	7/26/2001
573.00	0	7.62	16.15	7/26/2001
573.00	0	9.16	16.09	7/26/2001
573.00	0	0.17	20.31	7/26/2001
574.00	0	1.52	16.43	7/27/2001
574.00	0	3.05	16.07	7/27/2001
574.00	0	4.57	16.16	7/27/2001
574.00	0	6.09	16.13	7/27/2001
574.00	0	7.62	16.15	7/27/2001
574.00	0	9.16	15.93	7/27/2001
574.00	0	0.17	19.99	7/27/2001
575.00	0	1.53	16.28	7/28/2001
575.00	0	3.05	16.07	7/28/2001
575.00	0	4.57	16.16	7/28/2001
575.00	0	6.1	16.13	7/28/2001
575.00	0	7.62	16.15	7/28/2001
575.00	0	9.2	15.93	7/28/2001
575.00	0	0.2	16.61	7/28/2001
576.00	0	1.52	16.28	7/29/2001
576.00	0	3.05	16.22	7/29/2001
576.00	0	4.57	16	7/29/2001
576.00	0	6.09	15.97	7/29/2001
576.00	0	7.62	15.99	7/29/2001
576.00	0	9.22	15.93	7/29/2001
576.00	0	0.23	16.93	7/29/2001
577.00	0	1.52	16.75	7/30/2001
577.00	0	3.05	16.22	7/30/2001
577.00	0	4.57	16.16	7/30/2001
577.00	0	6.09	16.13	7/30/2001
577.00	0	7.62	16.31	7/30/2001
577.00	0	9.16	16.09	7/30/2001
577.00	0	0.17	18.69	7/30/2001
578.00	0	1.53	16.91	7/31/2001
578.00	0	3.05	16.38	7/31/2001
578.00	0	4.58	16.48	7/31/2001
578.00	0	6.1	16.44	7/31/2001
578.00	0	7.62	16.47	7/31/2001
578.00	0	9.18	16.25	7/31/2001
578.00	0	0.19	19.34	7/31/2001
579.00	0	1.53	16.75	8/1/2001
579.00	0	3.05	16.54	8/1/2001
579.00	0	4.57	16.48	8/1/2001
579.00	0	6.1	16.44	8/1/2001
579.00	0	7.62	16.47	8/1/2001
579.00	0	9.18	16.41	8/1/2001
579.00	0	0.18	18.37	8/1/2001
580.00	0	1.52	16.75	8/2/2001
580.00	0	3.04	16.54	8/2/2001
580.00	0	4.57	16.64	8/2/2001
580.00	0	6.09	16.61	8/2/2001
580.00	0	7.62	16.63	8/2/2001
580.00	0	9.17	16.57	8/2/2001
580.00	0	0.18	18.53	8/2/2001
581.00	0	1.52	17.07	8/3/2001
581.00	0	3.05	16.86	8/3/2001
581.00	0	4.57	16.79	8/3/2001
581.00	0	6.1	16.76	8/3/2001
581.00	0	7.62	16.78	8/3/2001
581.00	0	9.17	16.73	8/3/2001
581.00	0	0.18	19.34	8/3/2001
582.00	0	1.52	17.71	8/4/2001
582.00	0	3.04	17.02	8/4/2001
582.00	0	4.57	16.96	8/4/2001
582.00	0	6.09	17.08	8/4/2001
582.00	0	7.62	17.1	8/4/2001
582.00	0	9.18	16.89	8/4/2001
582.00	0	0.19	19.51	8/4/2001
583.00	0	1.52	19	8/5/2001
583.00	0	3.05	17.18	8/5/2001
583.00	0	4.57	17.11	8/5/2001
583.00	0	6.1	17.08	8/5/2001
583.00	0	7.62	17.1	8/5/2001
583.00	0	9.18	17.05	8/5/2001
583.00	0	0.19	20.15	8/5/2001
584.00	0	1.53	20.29	8/6/2001
584.00	0	3.05	17.33	8/6/2001
584.00	0	4.58	17.27	8/6/2001
584.00	0	6.1	17.24	8/6/2001
584.00	0	7.62	17.26	8/6/2001
584.00	0	9.19	17.05	8/6/2001
584.00	0	0.2	21.8	8/6/2001
585.00	0	1.53	19.81	8/7/2001
585.00	0	3.05	17.66	8/7/2001
585.00	0	4.58	17.27	8/7/2001
585.00	0	6.1	17.24	8/7/2001
585.00	0	7.62	17.42	8/7/2001
585.00	0	9.19	17.21	8/7/2001
585.00	0	0.2	22.13	8/7/2001
586.00	0	1.52	19	8/8/2001
586.00	0	3.05	17.49	8/8/2001
586.00	0	4.57	17.43	8/8/2001
586.00	0	6.09	17.4	8/8/2001
586.00	0	7.62	17.42	8/8/2001
586.00	0	9.17	17.37	8/8/2001
586.00	0	0.18	24.34	8/8/2001
587.00	0	1.52	18.03	8/9/2001
587.00	0	3.05	17.66	8/9/2001
587.00	0	4.57	17.59	8/9/2001
587.00	0	6.1	17.4	8/9/2001
587.00	0	7.62	17.42	8/9/2001
587.00	0	9.18	17.37	8/9/2001
587.00	0	0.19	20.64	8/9/2001
588.00	0	1.53	19.97	8/10/2001
588.00	0	3.05	18.14	8/10/2001
588.00	0	4.57	17.75	8/10/2001
588.00	0	6.1	17.88	8/10/2001
588.00	0	7.62	17.91	8/10/2001
588.00	0	9.19	17.68	8/10/2001
588.00	0	0.19	20.31	8/10/2001
589.00	0	1.53	20.29	8/11/2001
589.00	0	3.05	18.3	8/11/2001
589.00	0	4.58	18.07	8/11/2001
589.00	0	6.1	18.04	8/11/2001
589.00	0	7.62	17.91	8/11/2001
589.00	0	9.18	17.84	8/11/2001
589.00	0	0.19	21.13	8/11/2001
590.00	0	1.52	18.36	8/12/2001
590.00	0	3.05	18.14	8/12/2001
590.00	0	4.57	17.91	8/12/2001
590.00	0	6.1	17.88	8/12/2001
590.00	0	7.62	17.91	8/12/2001
590.00	0	9.16	17.84	8/12/2001
590.00	0	0.17	19.99	8/12/2001
591.00	0	1.53	18.68	8/13/2001
591.00	0	3.05	18.3	8/13/2001
591.00	0	4.58	18.23	8/13/2001
591.00	0	6.1	18.21	8/13/2001
591.00	0	7.62	18.23	8/13/2001
591.00	0	9.18	18.01	8/13/2001
591.00	0	0.19	20.31	8/13/2001
592.00	0	1.52	19.16	8/14/2001
592.00	0	3.04	18.46	8/14/2001
592.00	0	4.57	18.39	8/14/2001
592.00	0	6.09	18.37	8/14/2001
592.00	0	7.62	18.39	8/14/2001
592.00	0	9.17	18.17	8/14/2001
592.00	0	0.18	20.8	8/14/2001
593.00	0	1.53	19.81	8/15/2001
593.00	0	3.05	18.62	8/15/2001
593.00	0	4.57	18.39	8/15/2001
593.00	0	6.1	18.37	8/15/2001
593.00	0	7.62	18.39	8/15/2001
593.00	0	9.18	18.33	8/15/2001
593.00	0	0.19	21.3	8/15/2001
594.00	0	1.52	19.16	8/16/2001
594.00	0	3.04	18.46	8/16/2001
594.00	0	4.57	18.39	8/16/2001
594.00	0	6.09	18.37	8/16/2001
594.00	0	7.62	18.39	8/16/2001
594.00	0	9.17	18.33	8/16/2001
594.00	0	0.18	21.47	8/16/2001
595.00	0	1.53	19.64	8/17/2001
595.00	0	3.05	18.62	8/17/2001
595.00	0	4.58	18.39	8/17/2001
595.00	0	6.1	18.37	8/17/2001
595.00	0	7.62	18.55	8/17/2001
595.00	0	9.18	18.33	8/17/2001
595.00	0	0.19	22.63	8/17/2001
596.00	0	1.52	19.81	8/18/2001
596.00	0	3.04	18.95	8/18/2001
596.00	0	4.57	18.56	8/18/2001
596.00	0	6.09	18.53	8/18/2001
596.00	0	7.62	18.55	8/18/2001
596.00	0	9.19	18.49	8/18/2001
596.00	0	0.2	21.8	8/18/2001
597.00	0	1.52	20.46	8/19/2001
597.00	0	3.04	19.43	8/19/2001
597.00	0	4.57	18.88	8/19/2001
597.00	0	6.09	18.85	8/19/2001
597.00	0	7.62	18.87	8/19/2001
597.00	0	9.19	18.65	8/19/2001
597.00	0	0.2	22.3	8/19/2001
598.00	0	1.52	19.48	8/20/2001
598.00	0	3.04	19.11	8/20/2001
598.00	0	4.57	19.04	8/20/2001
598.00	0	6.09	19.01	8/20/2001
598.00	0	7.62	19.19	8/20/2001
598.00	0	9.19	18.98	8/20/2001
598.00	0	0.2	20.47	8/20/2001
599.00	0	1.53	20.29	8/21/2001
599.00	0	3.05	19.11	8/21/2001
599.00	0	4.58	19.04	8/21/2001
599.00	0	6.1	19.01	8/21/2001
599.00	0	7.62	19.03	8/21/2001
599.00	0	9.18	18.82	8/21/2001
599.00	0	0.19	20.8	8/21/2001
600.00	0	1.52	19.32	8/22/2001
600.00	0	3.04	18.95	8/22/2001
600.00	0	4.57	19.04	8/22/2001
600.00	0	6.09	19.01	8/22/2001
600.00	0	7.62	19.03	8/22/2001
600.00	0	9.18	18.82	8/22/2001
600.00	0	0.19	20.31	8/22/2001
601.00	0	1.53	19.81	8/23/2001
601.00	0	3.05	19.11	8/23/2001
601.00	0	4.58	19.36	8/23/2001
601.00	0	6.1	19.33	8/23/2001
601.00	0	7.62	19.36	8/23/2001
601.00	0	9.26	19.14	8/23/2001
601.00	0	0.27	20.64	8/23/2001
602.00	0	1.52	19.32	8/24/2001
602.00	0	3.05	18.95	8/24/2001
602.00	0	4.57	18.88	8/24/2001
602.00	0	6.09	19.01	8/24/2001
602.00	0	7.62	18.87	8/24/2001
602.00	0	9.24	18.82	8/24/2001
602.00	0	0.25	20.8	8/24/2001
603.00	0	1.52	19.48	8/25/2001
603.00	0	3.05	17.98	8/25/2001
603.00	0	4.57	17.43	8/25/2001
603.00	0	6.09	17.4	8/25/2001
603.00	0	7.62	17.42	8/25/2001
603.00	0	9.25	17.21	8/25/2001
603.00	0	0.26	21.47	8/25/2001
604.00	0	1.53	18.03	8/26/2001
604.00	0	3.05	17.02	8/26/2001
604.00	0	4.58	17.11	8/26/2001
604.00	0	6.1	17.24	8/26/2001
604.00	0	7.62	17.1	8/26/2001
604.00	0	9.25	17.05	8/26/2001
604.00	0	0.26	21.8	8/26/2001
605.00	0	1.53	17.87	8/27/2001
605.00	0	3.05	17.02	8/27/2001
605.00	0	4.58	17.11	8/27/2001
605.00	0	6.1	17.08	8/27/2001
605.00	0	7.62	17.1	8/27/2001
605.00	0	9.24	17.05	8/27/2001
605.00	0	0.25	22.63	8/27/2001
606.00	0	1.52	17.71	8/28/2001
606.00	0	3.05	17.18	8/28/2001
606.00	0	4.57	17.27	8/28/2001
606.00	0	6.1	17.24	8/28/2001
606.00	0	7.62	17.1	8/28/2001
606.00	0	9.24	17.05	8/28/2001
606.00	0	0.25	22.63	8/28/2001
607.00	0	1.53	17.71	8/29/2001
607.00	0	3.05	17.33	8/29/2001
607.00	0	4.58	17.27	8/29/2001
607.00	0	6.1	17.24	8/29/2001
607.00	0	7.62	17.26	8/29/2001
607.00	0	9.24	17.05	8/29/2001
607.00	0	0.25	20.8	8/29/2001
608.00	0	1.52	18.03	8/30/2001
608.00	0	3.05	17.49	8/30/2001
608.00	0	4.57	17.43	8/30/2001
608.00	0	6.1	17.4	8/30/2001
608.00	0	7.62	17.42	8/30/2001
608.00	0	9.23	17.21	8/30/2001
608.00	0	0.24	19.83	8/30/2001
609.00	0	1.53	19.81	8/31/2001
609.00	0	3.05	17.82	8/31/2001
609.00	0	4.57	17.59	8/31/2001
609.00	0	6.1	17.56	8/31/2001
609.00	0	7.62	17.58	8/31/2001
609.00	0	9.25	17.37	8/31/2001
609.00	0	0.25	20.31	8/31/2001
610.00	0	1.52	18.03	9/1/2001
610.00	0	3.05	17.82	9/1/2001
610.00	0	4.57	17.75	9/1/2001
610.00	0	6.09	17.72	9/1/2001
610.00	0	7.62	17.74	9/1/2001
610.00	0	9.23	17.52	9/1/2001
610.00	0	0.24	20.15	9/1/2001
611.00	0	1.52	20.29	9/2/2001
611.00	0	3.05	17.66	9/2/2001
