Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
  2,  1,         100.58,   238972.68779,  4286030.30121, 11,    34.754
  3,  1,         378.20,   238811.84292,  4285810.23848, 11,    34.754
  4,  1,         756.39,   238696.39467,  4285455.34050, 11,    33.534
  5,  1,        1158.73,   238663.94781,  4285055.63846, 11,    33.534
  6,  1,        1561.06,   238622.79968,  4284657.55577, 11,    32.315
  7,  1,        1963.40,   238562.56931,  4284260.38017, 11,    32.620
  8,  1,        2365.74,   238387.16512,  4283933.50170, 11,    30.182
  9,  1,        2719.79,   238121.38163,  4283700.14726, 11,    26.829
 10,  1,        2937.05,   237955.14496,  4283563.06908, 11,    28.048
 11,  1,        3029.59,   237872.89839,  4283520.71156, 11,    25.000
 12,  1,        3114.08,   237797.88231,  4283481.89876, 11,    27.134
 13,  1,        3270.99,   237662.52409,  4283402.63147, 11,    30.182
 14,  1,        3452.04,   237509.57080,  4283305.80770, 11,    31.096
 15,  1,        3580.79,   237404.58164,  4283231.48085, 11,    31.401
 16,  1,        3729.65,   237281.82305,  4283147.58515, 11,    31.401
 17,  1,        4003.24,   237046.41721,  4283008.33262, 11,    31.401
 18,  1,        4377.42,   236733.22875,  4282804.68066, 11,    30.791
 19,  1,        4779.75,   236521.93755,  4282491.15005, 11,    30.182
 20,  1,        5182.09,   236420.84457,  4282101.74245, 11,    29.877
 21,  1,        5584.42,   236358.89957,  4281706.59828, 11,    25.914
 22,  1,        5986.76,   236330.16567,  4281305.41070, 11,    28.048
 23,  1,        6389.10,   236274.47241,  4280907.32353, 11,    29.877
 24,  1,        6791.43,   236190.04809,  4280514.12389, 11,    30.486
 25,  1,        7161.58,   236125.50091,  4280150.59948, 11,    29.572
 26,  1,        7531.73,   236076.91754,  4279783.83074, 11,    26.829
 27,  1,        7966.25,   235886.83132,  4279413.53765, 11,    27.438
 28,  1,        8400.78,   235558.22571,  4279135.19065, 11,    28.048
 29,  1,        8803.11,   235210.23491,  4278933.72204, 11,    27.743
 30,  1,        9185.33,   234864.52998,  4278772.12101, 11,    28.353
 31,  1,        9515.25,   234555.35667,  4278657.26721, 11,    27.438
 32,  1,        9821.02,   234267.32844,  4278554.68747, 11,    25.914
 33,  1,       10122.77,   233990.45639,  4278435.77146, 11,    25.305
 34,  1,       10323.94,   233806.84176,  4278354.94682, 11,    25.305
