 JDAY =    6221.52899473710     
QIN:,1649.628934,
QTR:,
QDT:,-.107623,
QWD:,.000000,

SEG,BRANCH,KT,WSE,SZ,Z,Q,QC,QERR,H2KT,H1KT,BHR1,BHR2,T1,T2,SUKT,UKT
1,1,84,37.550000,.000000,.000000,1632.090051,1632.090051,.000000,.304800,.304800,1.328318,1.328318,.000000,.000000,.000000,.000000
2,1,84,47.243921,.000000,.000000,1631.903650,1631.904018,-.000023,.304800,.304800,1.323791,1.323791,.000000,.000000,.000000,.000000
3,1,84,47.111227,.000000,.000000,1612.294837,1612.294837,-.302029,.304800,.304800,1.347638,1.347638,.000000,.000000,.000000,.000000
4,1,84,47.016607,.000000,.000000,1612.572709,1612.668642,-.005949,.304800,.304800,1.383792,1.383792,.000000,.000000,.000000,.000000
5,1,84,45.925188,.000000,.000000,1579.183675,1579.183675,-.676190,.304800,.304800,1.390193,1.390193,.000000,.000000,.000000,.000000
6,1,84,44.562215,.000000,.000000,1580.927810,1579.498809,.090390,.304800,.304800,1.396594,1.396594,.000000,.000000,.000000,.000000
7,1,84,42.221824,.000000,.000000,1598.750597,1598.750597,-.943741,.304800,.304800,1.495501,1.495501,.000000,.000000,.000000,.000000
8,1,84,40.442604,.000000,.000000,1554.479986,1598.687599,-2.843884,.304800,.304800,4.238550,4.238550,.000000,.000000,.000000,.000000
9,1,84,40.068459,.000000,.000000,1573.998084,1598.571747,-1.561226,.304800,.304800,3.835099,3.835099,.000000,.000000,.000000,.000000
10,1,84,39.846684,.000000,.000000,1548.851944,1598.532625,-3.207581,.304800,.304800,8.488065,8.488065,.000000,.000000,.000000,.000000
11,1,84,39.666862,.000000,.000000,1555.310103,1598.518972,-2.778151,.304800,.304800,9.638386,9.638386,8.581948,8.581947,.000000,.000000
12,1,84,39.690016,.000000,.000000,1578.168831,1598.477631,-1.286859,.304800,.304800,5.064698,5.064698,.000000,.000000,.000000,.000000
13,1,84,39.669138,.000000,.000000,1598.406408,1598.406283,.000008,.304800,.304800,1.526269,1.526269,.000000,.000000,.000000,.000000
14,1,84,39.674993,.000000,.000000,1598.132559,1598.148163,-.000976,.304800,.304800,1.412672,1.412672,.000000,.000000,.000000,.000000
15,1,84,39.504123,.000000,.000000,1598.009262,1597.994725,.000910,.304800,.304800,1.402385,1.402385,.000000,.000000,.000000,.000000
16,1,84,39.305891,.000000,.000000,1597.643711,1597.659681,-.001000,.304800,.304800,1.412470,1.412470,.000000,.000000,.000000,.000000
17,1,84,39.007031,.000000,.000000,1607.325291,1607.325291,-.615789,.304800,.304800,1.479988,1.479988,.000000,.000000,.000000,.000000
18,1,84,38.398001,.000000,.000000,1611.728899,1611.728899,-2.007682,.304800,.304800,1.612849,1.612849,.000000,.000000,.000000,.000000
19,1,84,37.906292,.000000,.000000,1570.907874,1623.827157,-3.368707,.304800,.304800,2.645816,2.645816,.000000,.000000,.000000,.000000
20,1,84,37.635996,.000000,.000000,1514.446924,1608.722187,-6.225062,.304800,.304800,8.955176,8.955176,.000000,.000000,.000000,.000000
21,1,84,37.617722,.000000,.000000,1592.078929,1599.422390,-.461250,.304800,.304800,8.765591,8.765591,.000000,.000000,.000000,.000000
22,1,84,37.632556,.000000,.000000,1572.549591,1606.928405,-2.186183,.304800,.304800,3.480206,3.480206,.000000,.000000,.000000,.000000
23,1,84,37.482143,.000000,.000000,1611.537588,1611.369643,.010421,.304800,.304800,2.691079,2.691079,.000000,.000000,.000000,.000000
24,1,84,36.941127,.000000,.000000,1642.563250,1642.563250,-2.433387,.304800,.304800,2.372226,2.372226,.000000,.000000,.000000,.000000
25,1,84,36.432887,.000000,.000000,1647.352595,1647.352595,-3.046966,.304800,.304800,4.393208,4.393208,.000000,.000000,.000000,.000000
26,1,84,31.365369,.000000,.000000,633.884650,802.259419,-26.562367,.304800,.304800,5.343076,5.343076,.000000,.000000,.000000,.000000
27,1,84,30.645811,.000000,.000000,386.428129,458.528435,-18.658141,.304800,.304800,5.296261,5.296261,.000000,.000000,.000000,.000000
28,1,84,30.558428,.000000,.000000,370.543019,449.653443,-21.349862,.304800,.304800,4.784903,4.784903,.000000,.000000,.000000,.000000
29,1,84,30.548448,.000000,.000000,422.388635,478.751646,-13.343875,.304800,.304800,3.738196,3.738196,.000000,.000000,.000000,.000000
30,1,84,30.391037,.000000,.000000,1648.451618,1648.451618,-16.075019,.304800,.304800,24.322179,24.322179,.000000,.000000,.000000,.000000
31,1,84,30.547341,.000000,.000000,1649.101988,1649.101988,-9.184906,.304800,.304800,25.732873,25.732873,.000000,.000000,.000000,.000000
32,1,84,30.363980,-2.846068,-2.846712,1649.628934,1649.628934,-1.071090,.304800,3.151512,360.698033,28.870700,9.200000,9.200000,.000000,4.573435
33,1,84,28.456312,-2.846068,-2.846712,1509.052467,1506.355600,.178713,3.150868,3.151512,135.247473,135.470028,9.202085,9.202085,11.128578,11.137773
34,1,84,25.304284,.304005,.305316,.000000,.000000,.000000,.000795,-.000516,-.136852,.210703,9.203605,9.203605,8078.087730,-12437.371156
35,1,84,25.304284,.304005,.305316,.000000,.000000,.000000,.000795,-.000516,-.136852,.210703,9.203605,9.203605,.000000,.000000
