$
,  1,  2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35,
DLX,   250.000,   201.168,   354.056,   402.336,   402.336,   402.336,   402.336,   402.336,   305.775,   128.748,    56.327,   112.654,   201.168,   160.934,    96.561,   201.168,   346.009,   402.336,   402.336,   402.336,   402.336,   402.336,   402.336,   402.336,   337.962,   402.336,   466.710,   402.336,   402.336,   362.102,   297.729,   313.822,   289.682,   112.654,   250.000,
ELWS,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,    37.850,
PHI0,     0.000,     0.885,     0.488,     0.162,     0.000,     0.206,     0.095,     0.890,     0.798,     1.080,     1.130,     1.075,     1.022,     0.987,     0.901,     1.005,     1.055,     0.942,     0.244,     0.264,     0.047,     0.096,     0.182,     0.241,     0.098,     0.160,     0.744,     1.012,     1.080,     1.193,     1.242,     1.216,     1.110,     1.275,     0.000,
FRIC,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,     0.035,
LAYERH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,ELEV
  0.3048,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,  1
  0.3048,     0.000,   225.649,   228.186,   136.926,   138.339,   198.170,   245.612,   303.690,   300.870,   321.843,   273.276,   251.238,   762.924,   660.726,   706.065,   672.058,   658.472,   987.806,   396.848,   669.717,   575.809,   731.269,   814.997,   654.586,   658.379,  1226.216,   648.172,   749.113,   858.107,  1267.768,  1312.996,  1317.375,   803.660,   780.411,     0.000,  2
  0.3048,     0.000,   220.987,   223.472,   134.097,   135.481,   194.075,   240.538,   297.416,   294.653,   315.193,   267.630,   246.047,   747.161,   647.075,   661.411,   628.592,   637.370,   967.397,   388.648,   655.880,   563.912,   716.160,   798.159,   641.061,   644.777,  1200.881,   634.780,   733.636,   840.378,  1241.574,  1285.868,  1290.156,   787.055,   764.287,     0.000,  3
  0.3048,     0.000,   217.175,   219.617,   131.784,   133.144,   161.384,   236.388,   263.057,   289.570,   288.145,   255.903,   241.802,   719.732,   635.911,   650.000,   617.747,   611.636,   950.708,   381.943,   644.565,   554.183,   703.805,   784.389,   630.002,   633.653,  1180.163,   623.828,   720.979,   825.880,  1220.155,  1263.684,  1267.899,   773.477,   751.101,     0.000,  4
  0.3048,     0.000,   212.848,   215.241,   129.158,   116.613,   143.789,   231.678,   257.817,   283.801,   268.282,   250.805,   236.985,   705.393,   623.242,   637.051,   605.440,   585.006,   931.767,   374.334,   631.724,   543.143,   689.783,   768.762,   617.451,   621.029,  1156.652,   611.400,   706.615,   809.426,  1195.846,  1238.509,  1242.639,   758.067,   736.138,     0.000,  5
  0.3048,     0.000,   208.461,   210.805,   126.496,   114.210,   140.825,   226.903,   252.502,   264.052,   262.752,   245.635,   232.100,   676.897,   610.396,   623.920,   579.007,   572.948,   912.561,   366.618,   618.702,   531.947,   661.492,   752.916,   604.723,   608.228,  1132.810,   598.798,   692.050,   792.742,  1171.197,  1212.980,  1217.025,   742.442,   720.964,     0.000,  6
  0.3048,     0.000,   204.212,   206.508,   123.918,   111.882,   137.955,   208.384,   247.356,   258.671,   257.397,   240.629,   227.370,   663.101,   597.956,   597.312,   567.207,   547.413,   893.963,   359.146,   606.093,   521.106,   648.011,   737.571,   592.399,   595.832,  1109.723,   572.792,   677.946,   776.586,  1147.328,  1188.259,  1192.222,   727.311,   706.271,     0.000,  7
  0.3048,     0.000,   200.235,   202.487,   121.505,   109.703,   121.742,   204.326,   229.065,   240.285,   252.384,   235.943,   222.942,   650.188,   586.311,   572.058,   556.161,   536.752,   876.553,   352.152,   594.289,   510.957,   621.874,   716.384,   580.862,   584.228,  1088.112,   561.636,   664.743,   761.462,  1124.983,  1165.118,  1169.003,   713.146,   692.516,     0.000,  8
  0.3048,     0.000,   196.048,   198.253,   118.964,   107.409,   119.197,   186.717,   211.081,   235.261,   247.107,   218.176,   218.280,   636.592,   574.051,   546.763,   544.531,   512.224,   858.225,   344.789,   581.863,   500.273,   608.871,   701.405,   568.716,   572.013,  1065.359,   549.893,   650.844,   745.540,  1101.460,  1140.756,  1144.560,   698.235,   678.036,     0.000,  9
  0.3048,     0.000,   178.923,   193.858,   116.327,   105.028,   116.554,   182.577,   206.402,   230.045,   241.629,   188.241,   213.441,   622.480,   548.423,   534.642,   532.460,   500.869,   839.199,   337.145,   555.887,   489.183,   595.373,   685.856,   556.109,   559.332,  1041.742,   537.703,   636.416,   729.012,  1077.043,  1115.467,  1119.187,   682.756,   663.005,     0.000, 10
  0.3048,     0.000,   175.212,   189.837,   113.914,    90.062,   114.137,   178.791,   202.121,   212.760,   236.618,   184.337,   209.015,   609.571,   537.050,   510.784,   521.418,   490.482,   821.796,   330.153,   544.358,   479.038,   570.353,   658.839,   544.576,   547.732,  1020.138,   526.551,   623.217,   713.894,  1054.707,  1092.334,  1095.977,   668.597,   649.255,     0.000, 11
  0.3048,     0.000,   171.376,   185.680,   111.420,    88.089,    99.235,   174.876,   197.695,   208.101,   231.437,   180.301,   198.424,   596.222,   525.289,   499.599,   510.000,   479.741,   797.616,   322.924,   532.438,   468.548,   539.266,   644.412,   532.651,   535.738,   997.799,   515.021,   609.570,   698.261,  1031.611,  1068.414,  1071.977,   653.956,   635.038,     0.000, 12
  0.3048,     0.000,   167.709,   181.708,   109.036,    86.205,    97.112,   171.135,   193.465,   203.649,   202.646,   176.443,   194.179,   571.437,   514.051,   476.686,   487.064,   469.477,   768.450,   316.015,   521.047,   458.524,   527.729,   618.379,   521.255,   524.276,   976.452,   504.002,   596.529,   683.322,  1009.540,  1045.556,  1049.043,   639.965,   621.451,     0.000, 13
