$Flow file for segment 34,,,,
To the right of the sum of flows are individual flows starting with QWD then QSTR,,,,
JDAY,PH,Spill,Fish,
1,62.21,2.38,1.7,1/1/2000
2.5,60.92,0.28,1.7,1/2/2000
3.5,54.91,0.04,1.7,1/3/2000
4.5,55.55,0,1.7,1/4/2000
5.5,53.5,0,1.7,1/5/2000
6.5,56.27,0,1.7,1/6/2000
7.5,56.95,0.01,1.7,1/7/2000
8.5,54.02,0,1.7,1/8/2000
9.5,56.36,0.01,1.7,1/9/2000
10.5,50.51,0,1.7,1/10/2000
11.5,51.03,0,1.7,1/11/2000
12.5,55.76,0,1.7,1/12/2000
13.5,54.71,0,1.7,1/13/2000
14.5,56.79,0,1.7,1/14/2000
15.5,54.7,0,1.7,1/15/2000
16.5,50.86,0,1.7,1/16/2000
17.5,53.91,0,1.7,1/17/2000
18.5,48.06,0,1.7,1/18/2000
19.5,53.13,0,1.7,1/19/2000
20.5,51.88,0,1.7,1/20/2000
21.5,52.38,0,1.7,1/21/2000
22.5,55.99,0,1.7,1/22/2000
23.5,52.85,0,1.7,1/23/2000
24.5,29.52,15.83,1.59,1/24/2000
25.5,117.33,108.37,1.7,1/25/2000
26.5,142.51,140,1.7,1/26/2000
27.5,146.1,142.66,1.7,1/27/2000
28.5,143.58,142.67,1.7,1/28/2000
29.5,146.71,123.86,1.7,1/29/2000
30.5,137.06,89.4,1.7,1/30/2000
31.5,134.9,70.43,1.7,1/31/2000
32.5,139.83,41.85,1.7,2/1/2000
33.5,138.95,19.67,1.7,2/2/2000
34.5,131.4,8.38,1.7,2/3/2000
35.5,100.09,23.04,1.7,2/4/2000
36.5,123.03,0.35,1.7,2/5/2000
37.5,108.23,0,1.7,2/6/2000
38.5,87.62,11.92,1.7,2/7/2000
39.5,85.09,10.02,1.7,2/8/2000
40.5,99.08,0,1.7,2/9/2000
41.5,92.5,0,1.7,2/10/2000
42.5,89.26,0,1.7,2/11/2000
43.5,111.55,7.22,1.7,2/12/2000
44.5,157.11,124.53,1.7,2/13/2000
45.5,137.78,427.51,1.7,2/14/2000
46.5,169.9,546.73,1.7,2/15/2000
47.5,169.9,546.63,1.7,2/16/2000
48.5,162.75,517.28,1.7,2/17/2000
49.5,153.15,370.62,1.7,2/18/2000
50.5,152.54,266.33,1.7,2/19/2000
51.5,150.78,200.55,1.7,2/20/2000
52.5,138.46,154.46,1.7,2/21/2000
53.5,125.57,117.73,1.7,2/22/2000
54.5,114.72,87.26,1.7,2/23/2000
55.5,134.94,103.04,1.7,2/24/2000
56.5,135.47,143.11,1.7,2/25/2000
57.5,138.37,143.98,1.7,2/26/2000
57.54,138.27,143.97,1.7,2/26/2000
57.58,138.23,143.99,1.7,2/26/2000
57.63,138.16,143.97,1.7,2/26/2000
57.67,138.02,143.97,1.7,2/26/2000
57.71,137.79,143.96,1.7,2/26/2000
57.75,137.94,144,1.7,2/26/2000
57.79,137.89,143.99,1.7,2/26/2000
57.83,137.62,144,1.7,2/26/2000
57.88,137.52,143.61,1.69,2/26/2000
57.92,137.27,144.41,1.71,2/26/2000
57.96,137.18,143.71,1.7,2/26/2000
58,137.88,144.65,1.7,2/27/2000
58.04,137.55,143.91,1.7,2/27/2000
58.08,137.91,144.43,1.69,2/27/2000
58.13,137.98,144.76,1.71,2/27/2000
58.17,138.29,145.21,1.69,2/27/2000
58.21,138.3,145.55,1.7,2/27/2000
58.25,138.58,145.76,1.71,2/27/2000
58.29,138.48,145.63,1.69,2/27/2000
58.33,139.45,145.32,1.71,2/27/2000
58.38,139.12,144.98,1.7,2/27/2000
58.42,138.55,144.65,1.69,2/27/2000
58.46,138.48,144.29,1.71,2/27/2000
58.5,138.27,143.89,1.69,2/27/2000
58.54,137.87,144.15,1.7,2/27/2000
58.58,139.29,207.55,1.71,2/27/2000
58.63,144.85,205.42,1.69,2/27/2000
58.67,145.08,204.86,1.7,2/27/2000
58.71,144.82,204.54,1.7,2/27/2000
58.75,144.17,264.59,1.7,2/27/2000
58.79,144.9,270.45,1.7,2/27/2000
58.83,145.17,270.94,1.7,2/27/2000
58.88,144.47,271.39,1.7,2/27/2000
58.92,144.73,271.74,1.7,2/27/2000
58.96,145.04,272.1,1.7,2/27/2000
59,145.12,272.45,1.7,2/28/2000
59.04,145.21,272.72,1.7,2/28/2000
59.08,145.44,273.02,1.7,2/28/2000
59.13,145.18,273.28,1.7,2/28/2000
59.17,145.31,273.52,1.7,2/28/2000
59.21,145.79,273.77,1.7,2/28/2000
59.25,146.15,273.99,1.7,2/28/2000
59.29,145.89,274.23,1.7,2/28/2000
59.33,145.75,274.42,1.7,2/28/2000
59.38,145.1,274.58,1.7,2/28/2000
59.42,145.28,274.73,1.7,2/28/2000
59.46,145.09,274.85,1.7,2/28/2000
59.5,145.26,274.99,1.7,2/28/2000
60.5,154.91,275.94,1.7,2/29/2000
61.5,156.75,242.69,1.13,3/1/2000
62.5,148.79,181.7,0.85,3/2/2000
63.5,142.03,136.99,1.7,3/3/2000
64.5,140.09,94.06,1.7,3/4/2000
65.5,134.65,59.64,1.7,3/5/2000
66.5,134.44,35.35,1.7,3/6/2000
67.5,137.69,24.47,1.7,3/7/2000
68.5,132.19,24.6,1.7,3/8/2000
69.5,133.66,24.53,1.7,3/9/2000
70.5,134.92,24.51,1.7,3/10/2000
71.5,134.67,24.55,1.7,3/11/2000
72.5,135.11,24.54,1.7,3/12/2000
73.5,132.7,19.68,1.7,3/13/2000
74.5,113.49,20.41,1.7,3/14/2000
75.5,117.74,10.47,1.7,3/15/2000
76.5,122,0,1.7,3/16/2000
77.5,125.38,0,1.7,3/17/2000
78.5,122.37,0,1.7,3/18/2000
79.5,123.78,0,1.7,3/19/2000
80.5,123.69,0,1.7,3/20/2000
81.5,122.06,0,1.64,3/21/2000
82.5,122,0,1.7,3/22/2000
83.5,121.6,0,1.7,3/23/2000
84.5,114.48,0,1.7,3/24/2000
85.5,99.59,0,1.7,3/25/2000
86.5,98.02,0,1.7,3/26/2000
87.5,100.93,0,1.63,3/27/2000
88.5,97.47,0,1.7,3/28/2000
89.5,92.74,0,1.7,3/29/2000
90.5,97.6,0,1.7,3/30/2000
91.5,99.12,0,1.7,3/31/2000
92.5,96.61,0,1.7,4/1/2000
93.5,94.99,0,1.7,4/2/2000
