$Flow file for segment 34,,,
To the right of the sum of flows are individual flows starting with QWD then QSTR,,,
JDAY,PH,Spill,Fish
1,62.21,2.38,1.70
2.5,60.92,0.28,1.70
3.5,54.91,0.04,1.70
4.5,55.55,0.00,1.70
5.5,53.50,0.00,1.70
6.5,56.27,0.00,1.70
7.5,56.95,0.01,1.70
8.5,54.02,0.00,1.70
9.5,56.36,0.01,1.70
10.5,50.51,0.00,1.70
11.5,51.03,0.00,1.70
12.5,55.76,0.00,1.70
13.5,54.71,0.00,1.70
14.5,56.79,0.00,1.70
15.5,54.70,0.00,1.70
16.5,50.86,0.00,1.70
17.5,53.91,0.00,1.70
18.5,48.06,0.00,1.70
19.5,53.13,0.00,1.70
20.5,51.88,0.00,1.70
21.5,52.38,0.00,1.70
22.5,55.99,0.00,1.70
23.5,52.85,0.00,1.70
24.5,29.52,15.83,1.59
25.5,117.33,108.37,1.70
26.5,142.51,140.00,1.70
27.5,146.10,142.66,1.70
28.5,143.58,142.67,1.70
29.5,146.71,123.86,1.70
30.5,137.06,89.40,1.70
31.5,134.90,70.43,1.70
32.5,139.83,41.85,1.70
33.5,138.95,19.67,1.70
34.5,131.40,8.38,1.70
35.5,100.09,23.04,1.70
36.5,123.03,0.35,1.70
37.5,108.23,0.00,1.70
38.5,87.62,11.92,1.70
39.5,85.09,10.02,1.70
40.5,99.08,0.00,1.70
41.5,92.50,0.00,1.70
42.5,89.26,0.00,1.70
43.5,111.55,7.22,1.70
44.5,157.11,124.53,1.70
45.5,137.78,427.51,1.70
46.5,169.90,546.73,1.70
47.5,169.90,546.63,1.70
48.5,162.75,517.28,1.70
49.5,153.15,370.62,1.70
50.5,152.54,266.33,1.70
51.5,150.78,200.55,1.70
52.5,138.46,154.46,1.70
53.5,125.57,117.73,1.70
54.5,114.72,87.26,1.70
55.5,134.94,103.04,1.70
56.5,135.47,143.11,1.70
57.5,134.20,143.96,1.70
58.5,116.19,188.39,1.70
59.5,157.22,274.63,1.70
60.5,154.91,275.94,1.70
61.5,156.75,242.69,1.13
62.5,148.79,181.70,0.85
63.5,142.03,136.99,1.70
64.5,140.09,94.06,1.70
65.5,134.65,59.64,1.70
66.5,134.44,35.35,1.70
67.5,137.69,24.47,1.70
68.5,132.19,24.60,1.70
69.5,133.66,24.53,1.70
70.5,134.92,24.51,1.70
71.5,134.67,24.55,1.70
72.5,135.11,24.54,1.70
73.5,132.70,19.68,1.70
74.5,113.49,20.41,1.70
75.5,117.74,10.47,1.70
76.5,122.00,0.00,1.70
77.5,125.38,0.00,1.70
78.5,122.37,0.00,1.70
79.5,123.78,0.00,1.70
80.5,123.69,0.00,1.70
81.5,122.06,0.00,1.64
82.5,122.00,0.00,1.70
83.5,121.60,0.00,1.70
84.5,114.48,0.00,1.70
85.5,99.59,0.00,1.70
86.5,98.02,0.00,1.70
87.5,100.93,0.00,1.63
88.5,97.47,0.00,1.70
89.5,92.74,0.00,1.70
90.5,97.60,0.00,1.70
91.5,99.12,0.00,1.70
92.5,96.61,0.00,1.70
93.5,94.99,0.00,1.70
94.5,97.59,0.00,1.70
95.5,96.67,0.00,1.70
96.5,96.64,0.57,1.70
97.5,100.50,0.00,1.70
98.5,98.29,0.00,1.70
99.5,101.25,0.00,1.70
100.5,97.47,0.00,1.70
101.5,99.03,0.00,1.70
102.5,97.99,0.00,1.70
103.5,100.80,0.00,1.70
104.5,127.85,0.00,1.70
105.5,125.18,8.76,1.70
106.5,134.27,14.79,1.70
107.5,131.28,14.49,1.70
108.5,127.40,6.75,1.70
109.5,110.95,0.00,1.70
110.5,124.83,0.00,1.70
111.5,124.68,0.01,1.70
112.5,125.22,0.00,1.70
113.5,121.14,0.00,1.70
114.5,125.17,0.00,1.70
115.5,121.71,0.00,1.70
116.5,118.03,0.00,1.70
117.5,113.56,11.47,1.70
118.5,118.19,0.04,1.70
119.5,130.15,8.09,1.70
120.5,133.39,23.54,1.70
121.5,134.08,29.02,1.70
122.5,136.47,29.12,1.70
123.5,119.26,46.74,1.70
124.5,134.68,29.73,1.70
125.5,133.32,29.66,1.70
126.5,132.76,28.96,1.70
127.5,133.05,28.66,1.70
128.5,133.15,28.63,1.70
129.5,131.44,22.57,1.70
130.5,136.35,8.40,1.70
131.5,124.53,0.00,1.70
132.5,113.30,0.00,1.70
133.5,101.70,0.00,1.70
134.5,87.51,0.00,1.70
135.5,74.04,0.00,1.70
136.5,68.19,0.00,1.70
137.5,69.86,0.00,1.70
138.5,70.13,0.00,1.70
139.5,65.71,0.00,1.70
140.5,66.17,0.00,1.70
141.5,65.09,0.00,1.70
142.5,64.30,0.00,1.70
143.5,64.74,0.00,1.70
144.5,64.74,0.00,1.70
145.5,64.75,0.00,1.70
146.5,66.47,0.00,1.70
147.5,64.41,0.00,1.70
148.5,65.20,0.00,1.70
149.5,66.66,0.00,1.70
150.5,64.87,0.00,1.70
151.5,65.86,0.00,1.70
152.5,66.93,0.00,1.70
153.5,65.54,0.00,1.70
154.5,63.81,0.00,1.70
155.5,65.72,0.00,1.70
156.5,64.36,0.00,1.70
157.5,65.95,0.00,1.70
